degree	coefficient	variables
0	380.20909613326035	
1	-28.753992816	x_0_1
1	-27.016600019999998	x_0_2
1	-27.016600019999998	x_0_3
1	-28.751272794000002	x_0_4
1	-38.753992816	x_1_1
1	-27.016600019999998	x_1_2
1	-27.016600019999998	x_1_3
1	-28.751272794000002	x_1_4
1	-38.753992816	x_2_1
1	-27.016600019999998	x_2_2
1	-27.016600019999998	x_2_3
1	-28.751272794000002	x_2_4
1	-38.753992816	x_3_1
1	-27.016600019999998	x_3_2
1	-27.016600019999998	x_3_3
1	-28.751272794000002	x_3_4
1	-38.753992816	x_4_1
1	-27.016600019999998	x_4_2
1	-27.016600019999998	x_4_3
1	-28.751272794000002	x_4_4
1	-38.753992816	x_5_1
1	-27.016600019999998	x_5_2
1	-27.016600019999998	x_5_3
1	-28.751272794000002	x_5_4
1	-38.753992816	x_6_1
1	-27.016600019999998	x_6_2
1	-27.016600019999998	x_6_3
1	-28.751272794000002	x_6_4
1	-38.753992816	x_7_1
1	-27.016600019999998	x_7_2
1	-27.016600019999998	x_7_3
1	-28.751272794000002	x_7_4
1	-38.753992816	x_8_1
1	-27.016600019999998	x_8_2
1	-27.016600019999998	x_8_3
1	-28.751272794000002	x_8_4
1	-38.753992816	x_9_1
1	-27.016600019999998	x_9_2
1	-27.016600019999998	x_9_3
1	-28.751272794000002	x_9_4
1	-38.753992816	x_10_1
1	-27.016600019999998	x_10_2
1	-27.016600019999998	x_10_3
1	-28.751272794000002	x_10_4
1	-38.753992816	x_11_1
1	-27.016600019999998	x_11_2
1	-27.016600019999998	x_11_3
1	-28.751272794000002	x_11_4
1	-38.753992816	x_12_1
1	-27.016600019999998	x_12_2
1	-27.016600019999998	x_12_3
1	-28.751272794000002	x_12_4
1	-38.753992816	x_13_1
1	-27.016600019999998	x_13_2
1	-27.016600019999998	x_13_3
1	-28.751272794000002	x_13_4
1	-38.753992816	x_14_1
1	-27.016600019999998	x_14_2
1	-27.016600019999998	x_14_3
1	-28.751272794000002	x_14_4
1	-38.753992816	x_15_1
1	-27.016600019999998	x_15_2
1	-27.016600019999998	x_15_3
1	-28.751272794000002	x_15_4
2	10	x_0_0,x_1_1
2	23.989449879999999	x_0_1,x_0_2
2	27.463558207999998	x_0_1,x_0_3
2	27.077462370000003	x_0_1,x_0_4
2	14	x_0_1,x_1_1
2	-8	x_0_1,x_1_2
2	2	x_0_1,x_1_3
2	2	x_0_1,x_1_4
2	4	x_0_1,x_2_1
2	2	x_0_1,x_2_2
2	2	x_0_1,x_2_3
2	2	x_0_1,x_2_4
2	4	x_0_1,x_3_1
2	2	x_0_1,x_3_2
2	2	x_0_1,x_3_3
2	2	x_0_1,x_3_4
2	4	x_0_1,x_4_1
2	2	x_0_1,x_4_2
2	2	x_0_1,x_4_3
2	2	x_0_1,x_4_4
2	4	x_0_1,x_5_1
2	2	x_0_1,x_5_2
2	2	x_0_1,x_5_3
2	2	x_0_1,x_5_4
2	4	x_0_1,x_6_1
2	2	x_0_1,x_6_2
2	2	x_0_1,x_6_3
2	2	x_0_1,x_6_4
2	4	x_0_1,x_7_1
2	2	x_0_1,x_7_2
2	2	x_0_1,x_7_3
2	2	x_0_1,x_7_4
2	4	x_0_1,x_8_1
2	2	x_0_1,x_8_2
2	2	x_0_1,x_8_3
2	2	x_0_1,x_8_4
2	4	x_0_1,x_9_1
2	2	x_0_1,x_9_2
2	2	x_0_1,x_9_3
2	2	x_0_1,x_9_4
2	4	x_0_1,x_10_1
2	2	x_0_1,x_10_2
2	2	x_0_1,x_10_3
2	2	x_0_1,x_10_4
2	4	x_0_1,x_11_1
2	2	x_0_1,x_11_2
2	2	x_0_1,x_11_3
2	2	x_0_1,x_11_4
2	4	x_0_1,x_12_1
2	2	x_0_1,x_12_2
2	2	x_0_1,x_12_3
2	2	x_0_1,x_12_4
2	4	x_0_1,x_13_1
2	2	x_0_1,x_13_2
2	2	x_0_1,x_13_3
2	2	x_0_1,x_13_4
2	4	x_0_1,x_14_1
2	2	x_0_1,x_14_2
2	2	x_0_1,x_14_3
2	2	x_0_1,x_14_4
2	4	x_0_1,x_15_1
2	2	x_0_1,x_15_2
2	2	x_0_1,x_15_3
2	2	x_0_1,x_15_4
2	20.268441887999998	x_0_2,x_0_3
2	128.65127279399999	x_0_2,x_0_4
2	12	x_0_2,x_1_1
2	4	x_0_2,x_1_2
2	2	x_0_2,x_1_3
2	2	x_0_2,x_1_4
2	2	x_0_2,x_2_1
2	4	x_0_2,x_2_2
2	2	x_0_2,x_2_3
2	2	x_0_2,x_2_4
2	2	x_0_2,x_3_1
2	4	x_0_2,x_3_2
2	2	x_0_2,x_3_3
2	2	x_0_2,x_3_4
2	2	x_0_2,x_4_1
2	4	x_0_2,x_4_2
2	2	x_0_2,x_4_3
2	2	x_0_2,x_4_4
2	2	x_0_2,x_5_1
2	4	x_0_2,x_5_2
2	2	x_0_2,x_5_3
2	2	x_0_2,x_5_4
2	2	x_0_2,x_6_1
2	4	x_0_2,x_6_2
2	2	x_0_2,x_6_3
2	2	x_0_2,x_6_4
2	2	x_0_2,x_7_1
2	4	x_0_2,x_7_2
2	2	x_0_2,x_7_3
2	2	x_0_2,x_7_4
2	2	x_0_2,x_8_1
2	4	x_0_2,x_8_2
2	2	x_0_2,x_8_3
2	2	x_0_2,x_8_4
2	2	x_0_2,x_9_1
2	4	x_0_2,x_9_2
2	2	x_0_2,x_9_3
2	2	x_0_2,x_9_4
2	2	x_0_2,x_10_1
2	4	x_0_2,x_10_2
2	2	x_0_2,x_10_3
2	2	x_0_2,x_10_4
2	2	x_0_2,x_11_1
2	4	x_0_2,x_11_2
2	2	x_0_2,x_11_3
2	2	x_0_2,x_11_4
2	2	x_0_2,x_12_1
2	4	x_0_2,x_12_2
