id	name	time	bit
0	x_0_0	0	0
1	x_0_1	0	1
2	x_0_2	0	2
3	x_0_3	0	3
4	x_0_4	0	4
5	x_1_0	1	0
6	x_1_1	1	1
7	x_1_2	1	2
8	x_1_3	1	3
9	x_1_4	1	4
10	x_2_0	2	0
11	x_2_1	2	1
12	x_2_2	2	2
13	x_2_3	2	3
14	x_2_4	2	4
15	x_3_0	3	0
16	x_3_1	3	1
17	x_3_2	3	2
18	x_3_3	3	3
19	x_3_4	3	4
20	x_4_0	4	0
21	x_4_1	4	1
22	x_4_2	4	2
23	x_4_3	4	3
24	x_4_4	4	4
25	x_5_0	5	0
26	x_5_1	5	1
27	x_5_2	5	2
28	x_5_3	5	3
29	x_5_4	5	4
30	x_6_0	6	0
31	x_6_1	6	1
32	x_6_2	6	2
33	x_6_3	6	3
34	x_6_4	6	4
35	x_7_0	7	0
36	x_7_1	7	1
37	x_7_2	7	2
38	x_7_3	7	3
39	x_7_4	7	4
40	x_8_0	8	0
41	x_8_1	8	1
42	x_8_2	8	2
43	x_8_3	8	3
44	x_8_4	8	4
45	x_9_0	9	0
46	x_9_1	9	1
47	x_9_2	9	2
48	x_9_3	9	3
49	x_9_4	9	4
50	x_10_0	10	0
51	x_10_1	10	1
52	x_10_2	10	2
53	x_10_3	10	3
54	x_10_4	10	4
55	x_11_0	11	0
56	x_11_1	11	1
57	x_11_2	11	2
58	x_11_3	11	3
59	x_11_4	11	4
60	x_12_0	12	0
61	x_12_1	12	1
62	x_12_2	12	2
63	x_12_3	12	3
64	x_12_4	12	4
65	x_13_0	13	0
66	x_13_1	13	1
67	x_13_2	13	2
68	x_13_3	13	3
69	x_13_4	13	4
70	x_14_0	14	0
71	x_14_1	14	1
72	x_14_2	14	2
73	x_14_3	14	3
74	x_14_4	14	4
75	x_15_0	15	0
76	x_15_1	15	1
77	x_15_2	15	2
78	x_15_3	15	3
79	x_15_4	15	4
