from	from_orient	to	to_orient
s1	+	s5	-
s1	+	s2	+
s2	+	s3	+
s2	+	s47	+
s2	-	s6	+
s3	+	s4	+
s4	+	s73	+
s4	+	s5	+
s5	+	s6	+
s6	+	s7	+
s7	+	s8	+
s7	+	s86	+
s8	+	s9	+
s9	+	s10	+
s9	+	s49	+
s10	+	s11	+
s11	+	s62	+
s11	+	s12	+
s12	+	s13	+
s13	+	s63	+
s13	+	s14	+
s14	+	s15	+
s14	+	s50	+
s15	+	s16	+
s16	+	s17	+
s16	+	s69	+
s17	+	s18	+
s18	+	s98	+
s18	+	s19	+
s19	+	s55	+
s19	+	s20	+
s20	+	s21	+
s21	+	s22	+
s22	+	s23	+
s23	+	s24	+
s24	+	s25	+
s24	+	s56	+
s25	+	s26	+
s25	+	s65	+
s26	+	s27	+
s27	+	s28	+
s28	+	s29	+
s29	+	s30	+
s29	+	s70	+
s30	+	s31	+
s30	-	s31	+
s31	+	s32	+
s32	+	s33	+
s33	+	s84	+
s33	+	s34	+
s34	+	s35	+
s35	+	s36	+
s35	+	s85	+
s36	+	s68	+
s36	+	s37	+
s37	+	s38	+
s38	+	s39	+
s39	+	s40	+
s40	+	s99	+
s40	+	s41	+
s41	+	s42	+
s42	+	s61	+
s42	+	s43	+
s43	+	s44	+
s44	+	s72	+
s44	+	s45	+
s45	+	s46	+
s47	+	s90	+
s47	+	s48	+
s48	+	s4	+
s49	+	s11	+
s50	+	s51	+
s51	+	s52	+
s51	+	s93	+
s52	+	s74	+
s52	+	s53	+
s53	+	s54	+
s53	+	s64	+
s54	+	s16	+
s55	+	s22	+
s56	+	s57	+
s56	+	s92	+
s57	+	s58	+
s58	+	s59	+
s58	+	s94	+
s58	+	s97	+
s59	+	s60	+
s60	+	s31	+
s61	+	s44	+
s62	+	s13	+
s63	+	s51	+
s64	+	s23	+
s65	+	s82	+
s65	+	s66	+
s66	+	s28	-
s66	+	s67	+
s67	+	s27	+
s67	-	s29	+
s68	+	s40	+
s69	+	s18	+
s70	+	s71	+
s70	+	s83	+
s71	+	s32	+
s72	+	s46	+
s73	+	s7	+
s74	+	s75	+
s75	+	s76	+
s75	+	s87	+
s76	+	s77	+
s76	+	s91	+
s77	+	s78	+
s78	+	s79	+
s79	+	s88	+
s79	+	s80	+
s80	+	s81	+
s81	+	s24	+
s82	+	s28	+
s83	+	s33	+
s83	+	s89	+
s84	+	s35	+
s85	+	s39	+
s86	+	s9	+
s87	+	s78	+
s88	+	s81	+
s89	+	s38	+
s90	+	s4	+
s91	+	s79	+
s92	+	s58	+
s93	+	s75	+
s94	+	s95	+
s95	+	s96	+
s95	+	s100	+
s96	+	s60	+
s97	+	s95	+
s98	+	s21	+
s99	+	s42	+
s100	+	s96	+
