node	length
s1	1105
s2	228
s3	19
s4	118
s5	52
s6	33
s7	19
s8	57
s9	58
s10	96
s11	278
s12	337
s13	78
s14	6
s15	924
s16	196
s17	43
s18	9
s19	41
s20	21
s21	30
s22	197
s23	857
s24	91
s25	10
s26	479
s27	4
s28	281
s29	699
s30	142
s31	42
s32	240
s33	144
s34	535
s35	218
s36	113
s37	170
s38	31
s39	32
s40	38
s41	65
s42	500
s43	309
s44	120
s45	79
s46	814
s47	57
s48	57
s49	116
s50	56
s51	411
s52	26
s53	209
s54	72
s55	204
s56	110
s57	64
s58	237
s59	128
s60	1089
s61	309
s62	343
s63	52
s64	764
s65	331
s66	24
s67	141
s68	235
s69	51
s70	31
s71	148
s72	83
s73	87
s74	529
s75	145
s76	160
s77	52
s78	35
s79	163
s80	340
s81	407
s82	159
s83	565
s84	375
s85	316
s86	63
s87	550
s88	8
s89	1019
s90	19
s91	84
s92	55
s93	565
s94	649
s95	326
s96	117
s97	649
s98	62
s99	65
s100	1588
