node	length	covered_bases	depth
s1	1105	26329.50000000	23.82760181
s2	228	5043.00000000	22.11842105
s3	19	437.00000000	23
s4	118	2643.50000000	22.40254237
s5	52	799.00000000	15.36538462
s6	33	660.00000000	20
s7	19	456.00000000	24
s8	57	1853.00000000	32.50877193
s9	58	1939.50000000	33.43965517
s10	96	0.00000000	0
s11	278	1559.00000000	5.607913669
s12	337	0.00000000	0
s13	78	0.00000000	0
s14	6	0.00000000	0
s15	924	0.00000000	0
s16	196	255.50000000	1.303571429
s17	43	0.00000000	0
s18	9	0.00000000	0
s19	41	0.00000000	0
s20	21	0.00000000	0
s21	30	0.00000000	0
s22	197	0.00000000	0
s23	857	5800.00000000	6.767794632
s24	91	1516.00000000	16.65934066
s25	10	120.00000000	12
s26	479	198.00000000	0.4133611691
s27	4	0.00000000	0
s28	281	99.00000000	0.3523131673
s29	699	0.00000000	0
s30	142	0.00000000	0
s31	42	0.00000000	0
s32	240	0.00000000	0
s33	144	0.00000000	0
s34	535	0.00000000	0
s35	218	0.00000000	0
s36	113	0.00000000	0
s37	170	0.00000000	0
s38	31	0.00000000	0
s39	32	0.00000000	0
s40	38	0.00000000	0
s41	65	0.00000000	0
s42	500	0.00000000	0
s43	309	3339.00000000	10.80582524
s44	120	5225.00000000	43.54166667
s45	79	2773.00000000	35.10126582
s46	814	17479.00000000	21.47297297
s47	57	63.00000000	1.105263158
s48	57	0.00000000	0
s49	116	3605.50000000	31.08189655
s50	56	0.00000000	0
s51	411	1727.00000000	4.201946472
s52	26	234.00000000	9
s53	209	900.50000000	4.30861244
s54	72	504.00000000	7
s55	204	0.00000000	0
s56	110	1092.00000000	9.927272727
s57	64	0.00000000	0
s58	237	6229.00000000	26.28270042
s59	128	0.00000000	0
s60	1089	8181.00000000	7.512396694
s61	309	0.00000000	0
s62	343	0.00000000	0
s63	52	0.00000000	0
s64	764	2519.00000000	3.297120419
s65	331	952.50000000	2.877643505
s66	24	0.00000000	0
s67	141	0.00000000	0
s68	235	0.00000000	0
s69	51	0.00000000	0
s70	31	0.00000000	0
s71	148	0.00000000	0
s72	83	0.00000000	0
s73	87	126.00000000	1.448275862
s74	529	433.00000000	0.8185255198
s75	145	1336.00000000	9.213793103
s76	160	3416.00000000	21.35
s77	52	104.00000000	2
s78	35	1550.00000000	44.28571429
s79	163	5253.50000000	32.23006135
s80	340	485.00000000	1.426470588
s81	407	1820.00000000	4.471744472
s82	159	0.00000000	0
s83	565	0.00000000	0
s84	375	265.00000000	0.7066666667
s85	316	0.00000000	0
s86	63	0.00000000	0
s87	550	14855.50000000	27.01
s88	8	0.00000000	0
s89	1019	0.00000000	0
s90	19	38.00000000	2
s91	84	1316.00000000	15.66666667
s92	55	2035.00000000	37
s93	565	0.00000000	0
s94	649	0.00000000	0
s95	326	3231.50000000	9.912576687
s96	117	6180.50000000	52.82478632
s97	649	12312.00000000	18.97072419
s98	62	0.00000000	0
s99	65	0.00000000	0
s100	1588	15249.00000000	9.602644836
