node	length	depth	copy_number
s1	1105	23.82760181	2.605070069
s2	228	22.11842105	2.446897905
s3	19	23	2.528481582
s4	118	22.40254237	2.473191253
s5	52	15.36538462	1.821953833
s6	33	20	2.250853549
s7	19	24	2.621024259
s8	57	32.50877193	3.408448796
s9	58	33.43965517	3.494595223
s10	96	0	0.45
s11	278	5.607913669	0.918971346
s12	337	0	0.45
s13	78	0	0.45
s14	6	0	0.45
s15	924	0	0.45
s16	196	1.303571429	0.5206359903
s17	43	0	0.45
s18	9	0	0.45
s19	41	0	0.45
s20	21	0	0.45
s21	30	0	0.45
s22	197	0	0.45
s23	857	6.767794632	1.026309836
s24	91	16.65934066	1.94169999
s25	10	12	1.51051213
s26	479	0.4133611691	0.45
s27	4	0	0.45
s28	281	0.3523131673	0.45
s29	699	0	0.45
s30	142	0	0.45
s31	42	0	0.45
s32	240	0	0.45
s33	144	0	0.45
s34	535	0	0.45
s35	218	0	0.45
s36	113	0	0.45
s37	170	0	0.45
s38	31	0	0.45
s39	32	0	0.45
s40	38	0	0.45
s41	65	0	0.45
s42	500	0	0.45
s43	309	10.80582524	1.4
s44	120	43.54166667	4.429462415
s45	79	35.10126582	3.648365122
s46	814	21.47297297	2.387166412
s47	57	1.105263158	0.502284012
s48	57	0	0.45
s49	116	31.08189655	3.276401928
s50	56	0	0.45
s51	411	4.201946472	0.7888593771
s52	26	9	1.232884097
s53	209	4.30861244	0.7987305314
s54	72	7	1.047798742
s55	204	0	0.45
s56	110	9.927272727	1.318696398
s57	64	0	0.45
s58	237	26.28270042	2.832271468
s59	128	0	0.45
s60	1089	7.512396694	1.095217304
s61	309	0	0.45
s62	343	0	0.45
s63	52	0	0.45
s64	764	3.297120419	0.7051243515
s65	331	2.877643505	0.6663048348
s66	24	0	0.45
s67	141	0	0.45
s68	235	0	0.45
s69	51	0	0.45
s70	31	0	0.45
s71	148	0	0.45
s72	83	0	0.45
s73	87	1.448275862	0.534027326
s74	529	0.8185255198	0.4757485432
s75	145	9.213793103	1.252669083
s76	160	21.35	2.375786164
s77	52	2	0.5850853549
s78	35	44.28571429	4.498318574
s79	163	32.23006135	3.382656172
s80	340	1.426470588	0.5320094075
s81	407	4.471744472	0.8138272064
s82	159	0	0.45
s83	565	0	0.45
s84	375	0.7066666667	0.4653968254
s85	316	0	0.45
s86	63	0	0.45
s87	550	27.01	2.899577719
s88	8	0	0.45
s89	1019	0	0.45
s90	19	2	0.5850853549
s91	84	15.66666667	1.849835281
s92	55	37	3.824079066
s93	565	0	0.45
s94	649	0	0.45
s95	326	9.912576687	1.317336387
s96	117	52.82478632	5.288547163
s97	649	18.97072419	2.15560161
s98	62	0	0.45
s99	65	0	0.45
s100	1588	9.602644836	1.288654464
