degree	coefficient	variables
0	44.425000000000004	
1	-6	x_0_1
1	-6	x_0_2
1	-6	x_0_3
1	-6	x_0_4
1	-16	x_1_1
1	-6	x_1_2
1	-6	x_1_3
1	-6	x_1_4
1	-16	x_2_1
1	-6	x_2_2
1	-6	x_2_3
1	-6	x_2_4
1	-16	x_3_1
1	-6	x_3_2
1	-6	x_3_3
1	-6	x_3_4
2	10	x_0_0,x_1_1
2	6	x_0_1,x_0_2
2	6	x_0_1,x_0_3
2	6	x_0_1,x_0_4
2	14	x_0_1,x_1_1
2	-8	x_0_1,x_1_2
2	-8	x_0_1,x_1_3
2	-8	x_0_1,x_1_4
2	4	x_0_1,x_2_1
2	2	x_0_1,x_2_2
2	2	x_0_1,x_2_3
2	2	x_0_1,x_2_4
2	4	x_0_1,x_3_1
2	2	x_0_1,x_3_2
2	2	x_0_1,x_3_3
2	2	x_0_1,x_3_4
2	6	x_0_2,x_0_3
2	105.90000000000001	x_0_2,x_0_4
2	12	x_0_2,x_1_1
2	4	x_0_2,x_1_2
2	2	x_0_2,x_1_3
2	2	x_0_2,x_1_4
2	2	x_0_2,x_2_1
2	4	x_0_2,x_2_2
2	2	x_0_2,x_2_3
2	2	x_0_2,x_2_4
2	2	x_0_2,x_3_1
2	4	x_0_2,x_3_2
2	2	x_0_2,x_3_3
2	2	x_0_2,x_3_4
2	105.90000000000001	x_0_3,x_0_4
2	12	x_0_3,x_1_1
2	2	x_0_3,x_1_2
2	4	x_0_3,x_1_3
2	2	x_0_3,x_1_4
2	2	x_0_3,x_2_1
2	2	x_0_3,x_2_2
2	4	x_0_3,x_2_3
2	2	x_0_3,x_2_4
2	2	x_0_3,x_3_1
2	2	x_0_3,x_3_2
2	4	x_0_3,x_3_3
2	2	x_0_3,x_3_4
2	12	x_0_4,x_1_1
2	2	x_0_4,x_1_2
2	2	x_0_4,x_1_3
2	4	x_0_4,x_1_4
2	2	x_0_4,x_2_1
2	2	x_0_4,x_2_2
2	2	x_0_4,x_2_3
2	4	x_0_4,x_2_4
2	2	x_0_4,x_3_1
2	2	x_0_4,x_3_2
2	2	x_0_4,x_3_3
2	4	x_0_4,x_3_4
2	10	x_1_0,x_1_1
2	10	x_1_0,x_2_1
2	16	x_1_1,x_1_2
2	16	x_1_1,x_1_3
2	16	x_1_1,x_1_4
2	14	x_1_1,x_2_1
2	-8	x_1_1,x_2_2
2	-8	x_1_1,x_2_3
2	-8	x_1_1,x_2_4
2	4	x_1_1,x_3_1
2	2	x_1_1,x_3_2
2	2	x_1_1,x_3_3
2	2	x_1_1,x_3_4
2	6	x_1_2,x_1_3
