node	length
1	25
2	1
3	1
4	1
5	3
6	3
7	1
8	2
9	1
10	32
11	1
12	1
13	13
14	1
15	1
16	37
17	4
18	5
19	1
20	3
21	3
22	32
23	1
24	1
25	32
26	1
27	1
28	248
29	1
30	1
31	196
32	3
33	1
34	2
35	2
36	2
37	2
38	3
39	1
40	1
41	5
42	2
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	2
54	1
55	1
56	2
57	5
58	5
59	1
60	5
61	1
62	2
63	6
64	3
65	1
66	1
67	1
68	1
69	2
70	2
71	57
72	1
73	1
74	137
75	1
76	1
77	99
78	1
79	2
80	3
81	3
82	1
83	2
84	2
85	1
86	2
87	2
88	1
89	1
90	1
91	1
92	3
93	3
94	1
95	2
96	2
97	27
98	1
99	1
100	1
101	1
102	82
103	20
104	1
105	1
106	77
107	89
108	1
109	62
110	1
111	1
112	20
113	1
114	1
115	173
116	4
117	1
118	1
119	2
120	1
121	1
122	2
123	95
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	2
134	1
135	1
136	18
137	4
138	3
139	3
140	4
141	19
142	2
143	1
144	1
145	1
146	1
147	1
148	5
149	1
150	1
151	2
152	1
153	1
154	4
155	2
156	1
157	1
158	2
159	2
160	4
161	1
162	1
163	1
164	2
165	2
166	1
167	5
168	5
169	1
170	1
171	1
172	4
173	2
174	2
175	1
176	1
177	2
178	7
179	2
180	2
181	3
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	2
190	17
191	2
192	1
193	1
194	1
195	1
196	2
197	1
198	1
199	2
200	2
201	2
202	2
203	1
204	88
205	2
206	1
207	1
208	3
209	3
210	3
211	1
212	2
213	2
214	1
215	2
216	2
217	25
218	2
219	2
220	3
221	1
222	1
223	1
224	5
225	5
226	25
227	1
228	1
229	1
230	2
231	2
232	1
233	2
234	2
235	2
236	1
237	1
238	1
239	1
240	1
241	1
242	2
243	2
244	1
245	3
246	3
247	1
248	1
249	1
250	2
251	2
252	1
253	5
254	5
255	14
256	1
257	1
258	48
259	1
260	1
261	10
262	2
263	2
264	2
265	2
266	1
267	2
268	2
269	2
270	1
271	1
272	1
273	1
274	13
275	5
276	1
277	1
278	2
279	2
280	5
281	2
282	2
283	2
284	1
285	1
286	3
287	3
288	1
289	4
290	4
291	1
292	2
293	1
294	3
295	1
296	1
297	1
298	2
299	2
300	1
301	1
302	1
303	1
304	1
305	1
306	2
307	1
308	2
309	1
310	1
311	1
312	1
313	1
314	2
315	1
316	2
317	1
318	2
319	1
320	1
321	1
322	2
323	2
324	1
325	3
326	3
327	1
328	2
329	1
330	4
331	1
332	4
333	4
334	4
335	5
336	5
337	3
338	1
339	1
340	1
341	1
342	1
343	2
344	1
345	1
346	2
347	2
348	2
349	1
350	1
351	4
352	32
353	1
354	1
355	40
356	2
357	2
358	2
359	1
360	1
361	1
362	1
363	1
364	1
365	2
366	2
367	1
368	3
369	3
370	2
371	2
372	2
373	1
374	10
375	10
376	31
377	1
378	1
379	7
380	1
381	1
382	116
383	1
384	1
385	18
386	3
387	1
388	1
389	1
390	1
391	1
392	1
393	3
394	1
395	1
396	1
397	1
398	1
399	2
400	2
401	104
402	1
403	1
404	1
405	1
406	1
407	1
408	1
409	4
410	1
411	4
412	1
413	1
414	1
415	1
416	1
417	1
418	1
419	1
420	1
421	5
422	1
423	1
424	1
425	1
426	1
427	1
428	1
429	1
430	1
431	1
432	3
433	1
434	1
435	1
436	1
437	1
438	1
439	3
440	1
441	1
442	101
443	52
444	2
445	1
446	110
447	6
448	3
449	2
450	2
451	1
452	4
453	4
454	1
455	1
456	1
457	1
458	1
459	1
460	2
461	7
462	7
463	1
464	2
465	2
466	1
467	3
468	3
469	38
470	3
471	3
472	34
473	1
474	1
475	4
476	1
477	6
478	6
479	1
480	1
481	1
482	1
483	3
484	3
485	1
486	5
487	5
488	1
489	1
490	1
491	1
492	5
493	5
494	1
495	1
496	2
497	2
498	2
499	1
500	6
501	6
502	1
503	6
504	6
505	1
506	1
507	1
508	2
509	1
510	1
511	2
512	3
513	13
514	2
515	2
516	65
517	6
518	4
519	2
520	1
521	1
522	1
523	2
524	2
525	1
526	1
527	1
528	30
529	1
530	1
531	1
532	1
533	71
534	2
535	2
536	2
537	2
538	1
539	4
540	4
541	1
542	3
543	3
544	2
545	2
546	2
547	21
548	4
549	4
550	17
551	4
552	4
553	2
554	8
555	6
556	1
557	3
558	3
559	69
560	9
561	9
562	1
563	2
564	2
565	19
566	132
567	95
568	6
569	1
570	1
571	1
572	4
573	1
574	1
575	1
576	3
577	3
578	2
579	1
580	1
581	1
582	4
583	2
584	2
585	2
586	2
587	2
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	2
596	16
597	2
598	2
599	1
600	1
601	1
602	2
603	2
604	1
605	1
606	1
607	5
608	1
609	1
610	1
611	1
612	1
613	1
614	1
615	1
616	29
617	2
618	1
619	1
620	1
621	1
622	1
623	1
624	1
625	1
626	2
627	1
628	1
629	6
630	2
631	371
632	2
633	1
634	1
635	2
636	1
637	1
638	1
639	1
640	1
641	1
642	2
643	2
644	1
645	1
646	1
647	1
648	1
649	8
650	4
651	1
652	1
653	47
654	1
655	1
656	6
657	2
658	1
659	1
660	1
661	3
662	3
663	1
664	1
665	1
666	1
667	1
668	2
669	19
670	1
671	1
672	29
673	1
674	1
675	47
676	1
677	1
678	6
679	1
680	1
681	1
682	1
683	4
684	1
685	1
686	33
687	1
688	1
689	5
690	1
691	1
692	25
693	1
694	1
695	1
696	5
697	2
698	2
699	2
700	2
701	2
702	3
703	1
704	1
705	1
706	63
707	1
708	2
709	2
710	2
711	1
712	1
713	16
714	147
715	1
716	1
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	1
725	1
726	1
727	1
728	1
729	1
730	1
731	1
732	1
733	1
734	1
735	1
736	1
737	1
738	1
739	1
740	1
741	1
742	1
743	1
744	1
745	1
746	1
747	1
748	2
749	6
750	1
751	2
752	2
753	7
754	2
755	2
756	1
757	2
758	2
759	1
760	1
761	1
762	4
763	4
764	1
765	1
766	1
767	2
768	4
769	3
770	12
771	9
772	3
773	1
774	3
775	1
776	55
777	2
778	35
779	170
780	1
781	1
782	1
783	1
784	1
785	1
786	1
787	2
788	2
789	2
790	1
791	1
792	4
793	1
794	7
795	1
796	1
797	1
798	3
799	1
800	1
801	1
802	5
803	25
804	2
805	1
806	1
807	2
808	2
809	2
810	1
811	261
812	3
813	131
814	3
815	3
816	1
817	5
818	3
819	48
820	23
821	1
822	1
823	400
824	3
825	3
826	3
827	2
828	2
829	1
830	2
831	2
832	1
833	8
834	2
835	1
836	1
837	1
838	2
839	1
840	1
841	1
842	1
843	1
844	3
845	1
846	1
847	1
848	113
849	1
850	5
851	3
852	4
853	1
854	1
855	1
856	1
857	3
858	3
859	7
860	1
861	1
862	83
863	1
864	2
865	5
866	5
867	1
868	1
869	1
870	23
871	1
872	1
873	73
874	2
875	6
876	8
877	2
878	2
879	2
880	2
881	69
882	1
883	1
884	1
885	1
886	41
887	1
888	3
889	3
890	2
891	3
892	3
893	32
894	1
895	1
896	13
897	2
898	2
899	8
900	57
901	2
902	1
903	40
904	52
905	2
906	3
907	1
908	51
909	536
910	53
911	1
912	1
913	11
914	4
915	4
916	4
917	4
918	7
919	3
920	1
921	3
922	3
923	1
924	3
925	3
926	1
927	1
928	1
929	5
930	1
931	2
932	3
933	3
934	46
935	1
936	1
937	1
938	1
939	1
940	1
941	2
942	2
943	1
944	5
945	5
946	1
947	1
948	1
949	1
950	5
951	5
952	1
953	3
954	3
955	1
956	1
957	1
958	101
959	1
960	1
961	16
962	291
963	75
964	2
965	23
966	3
967	1
968	1
969	5
970	2
971	2
972	2
973	1
974	1
975	2
976	1
977	1
978	2
979	1
980	1
981	2
982	2
983	2
984	5
985	1
986	1
987	3
988	324
989	1
990	2
991	2
992	1
993	1
994	1
995	2
996	1
997	1
998	1
999	3
1000	3
1001	1
1002	8
1003	2
1004	1
1005	7
1006	3
1007	2
1008	1
1009	1
1010	2
1011	1
1012	1
1013	62
1014	1
1015	4
1016	2
1017	2
1018	2
1019	1
1020	4
1021	1
1022	1
1023	25
1024	1
1025	1
1026	1
1027	1
1028	1
1029	2
1030	2
1031	2
1032	61
1033	2
1034	1
1035	1
1036	1
1037	3
1038	1
1039	1
1040	2
1041	4
1042	3
1043	2
1044	1
1045	2
1046	2
1047	2
1048	3
1049	1
1050	1
1051	3
1052	1
1053	1
1054	2
1055	1
1056	1
1057	2
1058	1
1059	3
1060	3
1061	3
1062	2
1063	1
1064	1
1065	1
1066	2
1067	1
1068	1
1069	1
1070	1
1071	4
1072	4
1073	1
1074	4
1075	3
1076	2
1077	2
1078	1
1079	3
1080	3
1081	1
1082	2
1083	2
1084	1
1085	1
1086	1
1087	56
1088	5
1089	5
1090	1
1091	7
1092	7
1093	1
1094	3
1095	3
1096	68
1097	61
1098	1
1099	1
1100	6
1101	3
1102	4
1103	2
1104	1
1105	1
1106	1
1107	1
1108	1
1109	1
1110	3
1111	2
1112	59
1113	2
1114	2
1115	1
1116	2
1117	2
1118	1
1119	4
1120	4
1121	1
1122	1
1123	1
1124	15
1125	1
1126	1
1127	88
1128	208
1129	1
1130	1
1131	1
1132	12
1133	12
1134	1
1135	2
1136	2
1137	1
1138	2
1139	2
1140	205
1141	5
1142	5
1143	2
1144	3
1145	1
1146	1
1147	1
1148	2
1149	7
1150	1
1151	8
1152	8
1153	1
1154	2
1155	2
1156	1
1157	4
1158	4
1159	90
1160	5
1161	1
1162	1
1163	6
1164	10
1165	1
1166	1
1167	1
1168	3
1169	3
1170	3
1171	3
1172	1
1173	1
1174	1
1175	125
1176	1
1177	1
1178	1
1179	2
1180	1
1181	2
1182	1
1183	1
1184	2
1185	1
1186	1
1187	4
1188	7
1189	2
1190	1
1191	4
1192	4
1193	1
1194	1
1195	1
1196	2
1197	1
1198	1
1199	1
1200	1
1201	1
1202	1
1203	1
1204	1
1205	1
1206	2
1207	2
1208	1
1209	1
1210	1
1211	1
1212	2
1213	2
1214	1
1215	3
1216	3
1217	59
1218	1
1219	1
1220	70
1221	2
1222	2
1223	5
1224	7
1225	7
1226	37
1227	3
1228	3
1229	1
1230	1
1231	1
1232	1
1233	1
1234	1
1235	1
1236	1
1237	1
1238	1
1239	1
1240	1
1241	1
1242	1
1243	131
1244	9
1245	12
1246	125
1247	1
1248	2
1249	2
1250	3
1251	1
1252	1
1253	2
1254	2
1255	2
1256	2
1257	1
1258	1
1259	9
1260	1
1261	1
1262	2
1263	4
1264	4
1265	84
1266	4
1267	4
1268	4
1269	4
1270	3
1271	2
1272	2
1273	1
1274	5
1275	5
1276	1
1277	2
1278	2
1279	2
1280	2
1281	1
1282	2
1283	1
1284	3
1285	3
1286	3
1287	24
1288	3
1289	3
1290	3
1291	3
1292	3
1293	5
1294	1
1295	1
1296	180
1297	2
1298	2
1299	1
1300	8
1301	9
1302	1
1303	1
1304	1
1305	101
1306	2
1307	2
1308	1
1309	2
1310	2
1311	1
1312	5
1313	5
1314	1
1315	1
1316	1
1317	2
1318	4
1319	1
1320	3
1321	1
1322	4
1323	4
1324	21
1325	1
1326	1
1327	23
1328	4
1329	4
1330	2
1331	3
1332	1
1333	2
1334	1
1335	1
1336	1
1337	1
1338	5
1339	2
1340	2
1341	1
1342	1
1343	1
1344	2
1345	2
1346	1
1347	1
1348	1
1349	101
1350	1
1351	1
1352	42
1353	1
1354	1
1355	1
1356	2
1357	1
1358	1
1359	1
1360	1
1361	6
1362	6
1363	1
1364	1
1365	1
1366	2
1367	1
1368	1
1369	1
1370	2
1371	4
1372	3
1373	1
1374	1
1375	3
1376	1
1377	1
1378	1
1379	2
1380	2
1381	1
1382	5
1383	5
1384	59
1385	1
1386	5
1387	1
1388	3
1389	3
1390	2
1391	1
1392	1
1393	4
1394	2
1395	1
1396	1
1397	1
1398	2
1399	1
1400	1
1401	1
1402	1
1403	1
1404	2
1405	1
1406	1
1407	4
1408	4
1409	4
1410	4
1411	191
1412	1
1413	1
1414	1
1415	2
1416	20
1417	2
1418	2
1419	1
1420	1
1421	1
1422	1
1423	1
1424	1
1425	13
1426	2
1427	2
1428	1
1429	2
1430	2
1431	28
1432	2
1433	2
1434	1
1435	14
1436	1
1437	2
1438	2
1439	2
1440	3
1441	2
1442	2
1443	1
1444	3
1445	3
1446	2
1447	1
1448	1
1449	1
1450	3
1451	1
1452	1
1453	1
1454	3
1455	1
1456	4
1457	4
1458	85
1459	37
1460	62
1461	1
1462	1
1463	1
1464	2
1465	62
1466	80
1467	6
1468	6
1469	1
1470	1
1471	1
1472	1
1473	1
1474	2
1475	1
1476	1
1477	2
1478	3
1479	3
1480	1
1481	1
1482	1
1483	1
1484	3
1485	1
1486	1
1487	1
1488	2
1489	3
1490	3
1491	167
1492	1
1493	1
1494	1
1495	5
1496	5
1497	1
1498	1
1499	1
1500	151
1501	1
1502	1
1503	3
1504	1
1505	1
1506	66
1507	301
1508	2
1509	2
1510	2
1511	2
1512	1
1513	1
1514	1
1515	65
1516	1
1517	1
1518	62
1519	1
1520	1
1521	1
1522	1
1523	1
1524	2
1525	1
1526	3
1527	3
1528	1
1529	2
1530	2
1531	2
1532	1
1533	1
1534	1
1535	1
1536	3
1537	4
1538	2
1539	1
1540	2
1541	3
1542	3
1543	48
1544	1
1545	2
1546	3
1547	3
1548	1
1549	5
1550	5
1551	1
1552	2
1553	2
1554	1
1555	2
1556	2
1557	1
1558	1
1559	1
1560	82
1561	43
1562	1
1563	1
1564	65
1565	1
1566	1
1567	10
1568	78
1569	1
1570	1
1571	2
1572	2
1573	1
1574	75
1575	30
1576	3
1577	3
1578	1
1579	1
1580	1
1581	1
1582	7
1583	7
1584	1
1585	1
1586	1
1587	1
1588	5
1589	5
1590	3
1591	2
1592	2
1593	2
1594	4
1595	4
1596	23
1597	1
1598	1
1599	19
1600	1
1601	1
1602	75
1603	1
1604	1
1605	4
1606	3
1607	3
1608	2
1609	1
1610	1
1611	1
1612	5
1613	5
1614	1
1615	5
1616	5
1617	85
1618	39
1619	1
1620	1
1621	21
1622	1
1623	1
1624	30
1625	4
1626	4
1627	23
1628	1
1629	2
1630	1
1631	1
1632	2
1633	2
1634	1
1635	1
1636	1
1637	1
1638	1
1639	1
1640	1
1641	16
1642	16
1643	1
1644	2
1645	2
1646	53
1647	2
1648	1
1649	1
1650	1
1651	68
1652	1
1653	1
1654	1
1655	19
1656	2
1657	2
1658	3
1659	68
1660	2
1661	1
1662	1
1663	2
1664	1
1665	1
1666	2
1667	1
1668	1
1669	3
1670	1
1671	1
1672	3
1673	1
1674	1
1675	2
1676	1
1677	1
1678	3
1679	1
1680	1
1681	2
1682	1
1683	1
1684	2
1685	1
1686	1
1687	2
1688	68
1689	3
1690	2
1691	2
1692	14
1693	68
1694	5
1695	1
1696	1
1697	1
1698	1
1699	1
1700	1
1701	1
1702	2
1703	200
1704	97
