degree	coefficient	variables
0	70.745000000000005	
1	-7.5999999999999996	x_0_1
1	-7.5999999999999996	x_0_2
1	-7.5999999999999996	x_0_3
1	-7.5999999999999996	x_0_4
1	-17.599999999999998	x_1_1
1	-7.5999999999999996	x_1_2
1	-7.5999999999999996	x_1_3
1	-7.5999999999999996	x_1_4
1	-17.599999999999998	x_2_1
1	-7.5999999999999996	x_2_2
1	-7.5999999999999996	x_2_3
1	-7.5999999999999996	x_2_4
1	-17.599999999999998	x_3_1
1	-7.5999999999999996	x_3_2
1	-7.5999999999999996	x_3_3
1	-7.5999999999999996	x_3_4
1	-17.599999999999998	x_4_1
1	-7.5999999999999996	x_4_2
1	-7.5999999999999996	x_4_3
1	-7.5999999999999996	x_4_4
1	-17.599999999999998	x_5_1
1	-7.5999999999999996	x_5_2
1	-7.5999999999999996	x_5_3
1	-7.5999999999999996	x_5_4
2	10	x_0_0,x_1_1
2	7.5999999999999996	x_0_1,x_0_2
2	7.5999999999999996	x_0_1,x_0_3
2	7.5999999999999996	x_0_1,x_0_4
2	14	x_0_1,x_1_1
2	-8	x_0_1,x_1_2
2	-8	x_0_1,x_1_3
2	-8	x_0_1,x_1_4
2	4	x_0_1,x_2_1
2	2	x_0_1,x_2_2
2	2	x_0_1,x_2_3
2	2	x_0_1,x_2_4
2	4	x_0_1,x_3_1
2	2	x_0_1,x_3_2
2	2	x_0_1,x_3_3
2	2	x_0_1,x_3_4
2	4	x_0_1,x_4_1
2	2	x_0_1,x_4_2
2	2	x_0_1,x_4_3
2	2	x_0_1,x_4_4
2	4	x_0_1,x_5_1
2	2	x_0_1,x_5_2
2	2	x_0_1,x_5_3
2	2	x_0_1,x_5_4
2	7.5999999999999996	x_0_2,x_0_3
2	107.5	x_0_2,x_0_4
2	12	x_0_2,x_1_1
2	4	x_0_2,x_1_2
2	2	x_0_2,x_1_3
2	2	x_0_2,x_1_4
2	2	x_0_2,x_2_1
2	4	x_0_2,x_2_2
2	2	x_0_2,x_2_3
2	2	x_0_2,x_2_4
2	2	x_0_2,x_3_1
2	4	x_0_2,x_3_2
2	2	x_0_2,x_3_3
2	2	x_0_2,x_3_4
2	2	x_0_2,x_4_1
2	4	x_0_2,x_4_2
2	2	x_0_2,x_4_3
2	2	x_0_2,x_4_4
2	2	x_0_2,x_5_1
2	4	x_0_2,x_5_2
2	2	x_0_2,x_5_3
2	2	x_0_2,x_5_4
2	107.5	x_0_3,x_0_4
2	12	x_0_3,x_1_1
2	2	x_0_3,x_1_2
2	4	x_0_3,x_1_3
2	2	x_0_3,x_1_4
2	2	x_0_3,x_2_1
2	2	x_0_3,x_2_2
2	4	x_0_3,x_2_3
2	2	x_0_3,x_2_4
2	2	x_0_3,x_3_1
2	2	x_0_3,x_3_2
2	4	x_0_3,x_3_3
2	2	x_0_3,x_3_4
2	2	x_0_3,x_4_1
2	2	x_0_3,x_4_2
2	4	x_0_3,x_4_3
2	2	x_0_3,x_4_4
2	2	x_0_3,x_5_1
2	2	x_0_3,x_5_2
2	4	x_0_3,x_5_3
2	2	x_0_3,x_5_4
2	12	x_0_4,x_1_1
2	2	x_0_4,x_1_2
2	2	x_0_4,x_1_3
2	4	x_0_4,x_1_4
2	2	x_0_4,x_2_1
2	2	x_0_4,x_2_2
2	2	x_0_4,x_2_3
2	4	x_0_4,x_2_4
2	2	x_0_4,x_3_1
2	2	x_0_4,x_3_2
2	2	x_0_4,x_3_3
2	4	x_0_4,x_3_4
2	2	x_0_4,x_4_1
2	2	x_0_4,x_4_2
2	2	x_0_4,x_4_3
2	4	x_0_4,x_4_4
2	2	x_0_4,x_5_1
2	2	x_0_4,x_5_2
2	2	x_0_4,x_5_3
2	4	x_0_4,x_5_4
2	10	x_1_0,x_1_1
2	10	x_1_0,x_2_1
2	17.599999999999998	x_1_1,x_1_2
2	17.599999999999998	x_1_1,x_1_3
2	17.599999999999998	x_1_1,x_1_4
2	14	x_1_1,x_2_1
2	-8	x_1_1,x_2_2
2	-8	x_1_1,x_2_3
2	-8	x_1_1,x_2_4
2	4	x_1_1,x_3_1
2	2	x_1_1,x_3_2
2	2	x_1_1,x_3_3
2	2	x_1_1,x_3_4
2	4	x_1_1,x_4_1
2	2	x_1_1,x_4_2
2	2	x_1_1,x_4_3
2	2	x_1_1,x_4_4
2	4	x_1_1,x_5_1
2	2	x_1_1,x_5_2
2	2	x_1_1,x_5_3
2	2	x_1_1,x_5_4
2	7.5999999999999996	x_1_2,x_1_3
2	107.5	x_1_2,x_1_4
2	12	x_1_2,x_2_1
2	4	x_1_2,x_2_2
2	2	x_1_2,x_2_3
2	2	x_1_2,x_2_4
2	2	x_1_2,x_3_1
2	4	x_1_2,x_3_2
2	2	x_1_2,x_3_3
2	2	x_1_2,x_3_4
2	2	x_1_2,x_4_1
2	4	x_1_2,x_4_2
2	2	x_1_2,x_4_3
2	2	x_1_2,x_4_4
2	2	x_1_2,x_5_1
2	4	x_1_2,x_5_2
2	2	x_1_2,x_5_3
2	2	x_1_2,x_5_4
2	107.5	x_1_3,x_1_4
2	12	x_1_3,x_2_1
2	2	x_1_3,x_2_2
2	4	x_1_3,x_2_3
2	2	x_1_3,x_2_4
2	2	x_1_3,x_3_1
2	2	x_1_3,x_3_2
2	4	x_1_3,x_3_3
2	2	x_1_3,x_3_4
2	2	x_1_3,x_4_1
2	2	x_1_3,x_4_2
2	4	x_1_3,x_4_3
2	2	x_1_3,x_4_4
2	2	x_1_3,x_5_1
2	2	x_1_3,x_5_2
2	4	x_1_3,x_5_3
2	2	x_1_3,x_5_4
2	12	x_1_4,x_2_1
2	2	x_1_4,x_2_2
2	2	x_1_4,x_2_3
2	4	x_1_4,x_2_4
2	2	x_1_4,x_3_1
2	2	x_1_4,x_3_2
2	2	x_1_4,x_3_3
2	4	x_1_4,x_3_4
2	2	x_1_4,x_4_1
2	2	x_1_4,x_4_2
2	2	x_1_4,x_4_3
2	4	x_1_4,x_4_4
2	2	x_1_4,x_5_1
2	2	x_1_4,x_5_2
2	2	x_1_4,x_5_3
2	4	x_1_4,x_5_4
2	10	x_2_0,x_2_1
2	10	x_2_0,x_3_1
2	17.599999999999998	x_2_1,x_2_2
2	17.599999999999998	x_2_1,x_2_3
2	17.599999999999998	x_2_1,x_2_4
2	14	x_2_1,x_3_1
2	-8	x_2_1,x_3_2
2	-8	x_2_1,x_3_3
2	-8	x_2_1,x_3_4
2	4	x_2_1,x_4_1
2	2	x_2_1,x_4_2
2	2	x_2_1,x_4_3
2	2	x_2_1,x_4_4
2	4	x_2_1,x_5_1
2	2	x_2_1,x_5_2
2	2	x_2_1,x_5_3
2	2	x_2_1,x_5_4
2	7.5999999999999996	x_2_2,x_2_3
2	107.5	x_2_2,x_2_4
2	12	x_2_2,x_3_1
2	4	x_2_2,x_3_2
2	2	x_2_2,x_3_3
2	2	x_2_2,x_3_4
2	2	x_2_2,x_4_1
2	4	x_2_2,x_4_2
2	2	x_2_2,x_4_3
2	2	x_2_2,x_4_4
2	2	x_2_2,x_5_1
2	4	x_2_2,x_5_2
2	2	x_2_2,x_5_3
2	2	x_2_2,x_5_4
2	107.5	x_2_3,x_2_4
2	12	x_2_3,x_3_1
2	2	x_2_3,x_3_2
2	4	x_2_3,x_3_3
2	2	x_2_3,x_3_4
2	2	x_2_3,x_4_1
2	2	x_2_3,x_4_2
2	4	x_2_3,x_4_3
2	2	x_2_3,x_4_4
2	2	x_2_3,x_5_1
2	2	x_2_3,x_5_2
2	4	x_2_3,x_5_3
2	2	x_2_3,x_5_4
2	12	x_2_4,x_3_1
2	2	x_2_4,x_3_2
2	2	x_2_4,x_3_3
2	4	x_2_4,x_3_4
2	2	x_2_4,x_4_1
2	2	x_2_4,x_4_2
2	2	x_2_4,x_4_3
2	4	x_2_4,x_4_4
2	2	x_2_4,x_5_1
2	2	x_2_4,x_5_2
2	2	x_2_4,x_5_3
2	4	x_2_4,x_5_4
2	10	x_3_0,x_3_1
2	10	x_3_0,x_4_1
2	17.599999999999998	x_3_1,x_3_2
2	17.599999999999998	x_3_1,x_3_3
2	17.599999999999998	x_3_1,x_3_4
2	14	x_3_1,x_4_1
2	-8	x_3_1,x_4_2
2	-8	x_3_1,x_4_3
2	-8	x_3_1,x_4_4
2	4	x_3_1,x_5_1
2	2	x_3_1,x_5_2
2	2	x_3_1,x_5_3
2	2	x_3_1,x_5_4
2	7.5999999999999996	x_3_2,x_3_3
2	107.5	x_3_2,x_3_4
2	12	x_3_2,x_4_1
2	4	x_3_2,x_4_2
2	2	x_3_2,x_4_3
2	2	x_3_2,x_4_4
2	2	x_3_2,x_5_1
2	4	x_3_2,x_5_2
2	2	x_3_2,x_5_3
2	2	x_3_2,x_5_4
2	107.5	x_3_3,x_3_4
2	12	x_3_3,x_4_1
2	2	x_3_3,x_4_2
2	4	x_3_3,x_4_3
2	2	x_3_3,x_4_4
2	2	x_3_3,x_5_1
2	2	x_3_3,x_5_2
2	4	x_3_3,x_5_3
2	2	x_3_3,x_5_4
2	12	x_3_4,x_4_1
2	2	x_3_4,x_4_2
2	2	x_3_4,x_4_3
2	4	x_3_4,x_4_4
2	2	x_3_4,x_5_1
2	2	x_3_4,x_5_2
2	2	x_3_4,x_5_3
2	4	x_3_4,x_5_4
2	10	x_4_0,x_4_1
2	10	x_4_0,x_5_1
2	17.599999999999998	x_4_1,x_4_2
2	17.599999999999998	x_4_1,x_4_3
2	17.599999999999998	x_4_1,x_4_4
2	14	x_4_1,x_5_1
2	-8	x_4_1,x_5_2
2	-8	x_4_1,x_5_3
2	-8	x_4_1,x_5_4
2	7.5999999999999996	x_4_2,x_4_3
2	107.5	x_4_2,x_4_4
2	12	x_4_2,x_5_1
2	4	x_4_2,x_5_2
2	2	x_4_2,x_5_3
2	2	x_4_2,x_5_4
2	107.5	x_4_3,x_4_4
2	12	x_4_3,x_5_1
2	2	x_4_3,x_5_2
2	4	x_4_3,x_5_3
2	2	x_4_3,x_5_4
2	12	x_4_4,x_5_1
2	2	x_4_4,x_5_2
2	2	x_4_4,x_5_3
2	4	x_4_4,x_5_4
2	10	x_5_0,x_5_1
2	17.599999999999998	x_5_1,x_5_2
2	17.599999999999998	x_5_1,x_5_3
2	17.599999999999998	x_5_1,x_5_4
2	7.5999999999999996	x_5_2,x_5_3
2	107.5	x_5_2,x_5_4
2	107.5	x_5_3,x_5_4
3	-10	x_0_0,x_0_1,x_1_0
3	-10	x_0_0,x_0_1,x_1_1
3	10	x_0_0,x_0_1,x_1_2
3	10	x_0_0,x_0_1,x_1_3
3	10	x_0_0,x_0_1,x_1_4
3	-10	x_0_0,x_0_2,x_1_1
3	-10	x_0_0,x_0_3,x_1_1
3	-10	x_0_0,x_0_4,x_1_1
3	-10	x_0_0,x_1_0,x_1_1
3	-10	x_0_0,x_1_1,x_1_2
3	-10	x_0_0,x_1_1,x_1_3
3	-10	x_0_0,x_1_1,x_1_4
3	-7.5999999999999996	x_0_1,x_0_2,x_0_3
3	-7.5999999999999943	x_0_1,x_0_2,x_0_4
3	-14	x_0_1,x_0_2,x_1_1
3	6	x_0_1,x_0_2,x_1_2
3	-2	x_0_1,x_0_2,x_1_3
3	8	x_0_1,x_0_2,x_1_4
3	-4	x_0_1,x_0_2,x_2_1
3	-4	x_0_1,x_0_2,x_2_2
3	-2	x_0_1,x_0_2,x_2_3
3	-2	x_0_1,x_0_2,x_2_4
