node	length
1	25
2	1
3	1
4	3
5	3
6	1
7	2
8	2
9	30
10	1
11	2
12	1
13	6
14	1
15	5
16	1
17	6
18	6
19	1
20	1
21	1
22	5
23	5
24	1
25	1
26	1
27	25
28	1
29	5
30	4
31	4
32	1
33	3
34	3
35	32
36	1
37	1
38	32
39	1
40	1
41	208
42	1
43	6
44	6
45	11
46	1
47	1
48	21
49	1
50	1
51	44
52	1
53	1
54	70
55	1
56	3
57	1
58	1
59	1
60	3
61	1
62	8
63	8
64	69
65	5
66	2
67	1
68	1
69	1
70	1
71	2
72	1
73	3
74	1
75	1
76	5
77	1
78	2
79	1
80	1
81	1
82	3
83	4
84	1
85	1
86	2
87	2
88	3
89	8
90	3
91	2
92	1
93	3
94	1
95	1
96	1
97	1
98	2
99	2
100	5
101	1
102	1
103	2
104	2
105	1
106	3
107	2
108	10
109	1
110	1
111	1
112	1
113	2
114	3
115	1
116	1
117	6
118	6
119	23
120	1
121	1
122	56
123	1
124	1
125	80
126	1
127	1
128	99
129	1
130	2
131	3
132	3
133	1
134	2
135	2
136	1
137	2
138	2
139	1
140	1
141	1
142	1
143	3
144	3
145	1
146	2
147	2
148	27
149	1
150	1
151	1
152	1
153	5
154	3
155	3
156	1
157	1
158	1
159	4
160	3
161	3
162	2
163	4
164	4
165	39
166	1
167	1
168	38
169	1
170	5
171	5
172	76
173	1
174	1
175	143
176	1
177	1
178	20
179	1
180	1
181	63
182	24
183	1
184	1
185	6
186	1
187	16
188	1
189	1
190	1
191	6
192	1
193	1
194	1
195	1
196	1
197	1
198	2
199	2
200	5
201	2
202	2
203	2
204	1
205	1
206	1
207	2
208	2
209	1
210	1
211	1
212	1
213	1
214	24
215	1
216	1
217	1
218	10
219	1
220	1
221	1
222	3
223	3
224	1
225	1
226	1
227	1
228	252
229	3
230	37
231	4
232	32
233	2
234	3
235	1
236	5
237	2
238	5
239	3
240	1
241	1
242	1
243	1
244	1
245	2
246	1
247	1
248	2
249	8
250	1
251	1
252	1
253	1
254	17
255	1
256	1
257	11
258	1
259	1
260	60
261	1
262	3
263	1
264	2
265	2
266	2
267	1
268	2
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	2
279	2
280	2
281	5
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	5
290	2
291	2
292	3
293	1
294	1
295	2
296	1
297	1
298	1
299	1
300	1
301	1
302	2
303	1
304	3
305	1
306	1
307	2
308	1
309	2
310	1
311	1
312	1
313	2
314	1
315	1
316	2
317	1
318	1
319	1
320	3
321	1
322	2
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	2
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	2
339	1
340	2
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	2
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	2
362	4
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	3
373	1
374	1
375	1
376	1
377	38
378	1
379	1
380	6
381	1
382	4
383	14
384	1
385	1
386	1
387	17
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	3
396	1
397	1
398	4
399	2
400	4
401	1
402	1
403	21
404	1
405	1
406	17
407	1
408	1
409	10
410	2
411	2
412	2
413	1
414	2
415	2
416	1
417	1
418	1
419	1
420	1
421	1
422	1
423	2
424	1
425	1
426	1
427	3
428	1
429	2
430	2
431	5
432	1
433	1
434	2
435	2
436	5
437	2
438	2
439	2
440	1
441	4
442	1
443	3
444	1
445	16
446	4
447	22
448	3
449	1
450	1
451	27
452	36
453	3
454	1
455	3
456	5
457	2
458	4
459	1
460	2
461	2
462	1
463	2
464	1
465	1
466	1
467	1
468	2
469	2
470	2
471	1
472	1
473	1
474	1
475	2
476	1
477	2
478	2
479	2
480	1
481	1
482	1
483	2
484	2
485	1
486	10
487	4
488	3
489	1
490	1
491	3
492	1
493	1
494	1
495	1
496	1
497	2
498	1
499	1
500	2
501	3
502	2
503	1
504	1
505	1
506	1
507	2
508	2
509	32
510	1
511	1
512	40
513	29
514	29
515	17
516	1
517	1
518	12
519	1
520	1
521	1
522	1
523	2
524	1
525	2
526	2
527	1
528	2
529	1
530	1
531	1
532	1
533	1
534	59
535	9
536	7
537	3
538	3
539	34
540	34
541	4
542	1
543	1
544	1
545	1
546	2
547	2
548	51
549	1
550	4
551	1
552	1
553	1
554	1
555	1
556	2
557	3
558	30
559	1
560	6
561	1
562	1
563	3
564	2
565	3
566	1
567	1
568	1
569	2
570	1
571	1
572	2
573	33
574	1
575	2
576	2
577	13
578	2
579	2
580	19
581	10
582	1
583	1
584	1
585	1
586	1
587	2
588	2
589	1
590	3
591	50
592	3
593	3
594	2
595	1
596	1
597	19
598	18
599	3
600	1
601	1
602	1
603	1
604	4
605	7
606	1
607	1
608	1
609	1
610	3
611	3
612	1
613	1
614	1
615	5
616	1
617	1
618	8
619	3
620	4
621	2
622	1
623	2
624	1
625	4
626	3
627	1
628	1
629	5
630	5
631	71
632	143
633	1
634	1
635	49
636	1
637	2
638	28
639	1
640	1
641	42
642	1
643	1
644	38
645	6
646	3
647	2
648	2
649	11
650	1
651	4
652	4
653	1
654	1
655	1
656	1
657	1
658	1
659	2
660	6
661	7
662	2
663	27
664	1
665	1
666	9
667	13
668	13
669	2
670	1
671	1
672	15
673	3
674	3
675	1
676	52
677	1
678	1
679	2
680	1
681	1
682	1
683	1
684	1
685	1
686	1
687	1
688	1
689	3
690	1
691	1
692	1
693	1
694	1
695	1
696	3
697	1
698	1
699	1
700	1
701	1
702	1
703	1
704	2
705	2
706	1
707	1
708	1
709	1
710	1
711	1
712	1
713	1
714	1
715	2
716	1
717	2
718	2
719	1
720	1
721	1
722	3
723	1
724	1
725	1
726	9
727	1
728	1
729	1
730	1
731	1
732	2
733	2
734	1
735	2
736	4
737	4
738	1
739	1
740	1
741	15
742	4
743	2
744	2
745	8
746	1
747	1
748	3
749	3
750	1
751	2
752	3
753	1
754	1
755	3
756	1
757	1
758	1
759	8
760	3
761	3
762	1
763	1
764	2
765	2
766	2
767	1
768	1
769	1
770	1
771	5
772	2
773	1
774	1
775	1
776	1
777	2
778	1
779	1
780	1
781	1
782	2
783	2
784	2
785	1
786	4
787	4
788	1
789	3
790	3
791	1
792	2
793	2
794	1
795	1
796	2
797	1
798	1
799	1
800	1
801	1
802	1
803	1
804	3
805	1
806	1
807	1
808	1
809	1
810	1
811	1
812	1
813	1
814	3
815	1
816	1
817	1
818	1
819	1
820	5
821	4
822	1
823	8
824	3
825	9
826	1
827	2
828	2
829	1
830	1
831	1
832	17
833	111
834	2
835	4
836	30
837	307
838	21
839	10
840	3
841	6
842	1
843	8
844	2
845	1
846	21
847	1
848	4
849	26
850	6
851	2
852	6
853	8
854	2
855	88
856	32
857	2
858	85
859	2
860	1
861	1
862	1
863	2
864	2
865	1
866	1
867	1
868	24
869	1
870	1
871	1
872	1
873	1
874	1
875	1
876	1
877	51
878	2
879	1
880	1
881	2
882	2
883	2
884	20
885	1
886	23
887	2
888	3
889	1
890	11
891	1
892	1
893	1
894	1
895	8
896	2
897	5
898	5
899	1
900	2
901	2
902	1
903	5
904	1
905	1
906	1
907	4
908	30
909	1
910	23
911	1
912	2
913	2
914	19
915	3
916	107
917	6
918	6
919	115
920	1
921	1
922	2
923	1
924	1
925	3
926	3
927	20
928	3
929	3
930	1
931	1
932	1
933	192
934	3
935	3
936	1
937	5
938	5
939	101
940	50
941	24
942	8
943	8
944	2
945	1
946	1
947	123
948	2
949	1
950	1
951	1
952	49
953	1
954	1
955	1
956	2
957	50
958	1
959	12
960	1
961	1
962	9
963	9
964	1
965	5
966	5
967	1
968	2
969	2
970	102
971	107
972	1
973	1
974	1
975	1
976	1
977	278
978	2
979	4
980	36
981	1
982	1
983	26
984	1
985	1
986	11
987	1
988	1
989	5
990	2
991	27
992	1
993	2
994	1
995	1
996	1
997	1
998	1
999	1
1000	1
1001	1
1002	1
1003	1
1004	2
1005	1
1006	1
1007	2
1008	4
1009	27
1010	1
1011	3
1012	3
1013	3
1014	2
1015	3
1016	3
1017	22
1018	1
1019	1
1020	9
1021	1
1022	1
1023	13
1024	2
1025	2
1026	487
1027	15
1028	1
1029	1
1030	2
1031	1
1032	1
1033	1
1034	1
1035	4
1036	1
1037	41
1038	2
1039	1
1040	1
1041	3
1042	15
1043	78
1044	15
1045	35
1046	1
1047	1
1048	11
1049	4
1050	4
1051	4
1052	4
1053	7
1054	3
1055	1
1056	3
1057	3
1058	1
1059	3
1060	3
1061	1
1062	1
1063	1
1064	3
1065	2
1066	1
1067	3
1068	2
1069	1
1070	3
1071	1
1072	50
1073	5
1074	5
1075	15
1076	3
1077	46
1078	1
1079	1
1080	1
1081	1
1082	1
1083	1
1084	1
1085	2
1086	1
1087	1
1088	1
1089	2
1090	2
1091	1
1092	1
1093	1
1094	1
1095	1
1096	1
1097	1
1098	2
1099	2
1100	3
1101	1
1102	3
1103	3
1104	1
1105	1
1106	1
1107	45
1108	1
1109	1
1110	48
1111	1
1112	1
1113	1
1114	1
1115	1
1116	2
1117	2
1118	1
1119	16
1120	47
1121	423
1122	159
1123	1
1124	1
1125	1
1126	1
1127	1
1128	1
1129	1
1130	4
1131	2
1132	1
1133	1
1134	2
1135	1
1136	3
1137	2
1138	1
1139	1
1140	28
1141	399
1142	1
1143	2
1144	2
1145	4
1146	1
1147	2
1148	2
1149	37
1150	7
1151	1
1152	1
1153	1
1154	1
1155	2
1156	1
1157	1
1158	1
1159	1
1160	8
1161	8
1162	4
1163	2
1164	1
1165	3
1166	17
1167	27
1168	12
1169	1
1170	1
1171	20
1172	4
1173	21
1174	1
1175	1
1176	1
1177	1
1178	1
1179	2
1180	2
1181	2
1182	61
1183	2
1184	1
1185	1
1186	1
1187	3
1188	1
1189	1
1190	2
1191	1
1192	1
1193	1
1194	1
1195	1
1196	3
1197	3
1198	2
1199	2
1200	1
1201	3
1202	1
1203	1
1204	2
1205	1
1206	1
1207	1
1208	1
1209	4
1210	1
1211	1
1212	1
1213	1
1214	1
1215	8
1216	1
1217	2
1218	1
1219	1
1220	1
1221	1
1222	2
1223	1
1224	1
1225	2
1226	3
1227	2
1228	3
1229	3
1230	2
1231	1
1232	1
1233	1
1234	2
1235	2
1236	1
1237	1
1238	1
1239	1
1240	56
1241	5
1242	5
1243	1
1244	7
1245	7
1246	1
1247	3
1248	3
1249	7
1250	1
1251	1
1252	44
1253	3
1254	3
1255	1
1256	5
1257	5
1258	1
1259	4
1260	4
1261	1
1262	1
1263	1
1264	2
1265	2
1266	3
1267	1
1268	56
1269	1
1270	1
1271	6
1272	3
1273	4
1274	2
1275	1
1276	1
1277	1
1278	1
1279	1
1280	1
1281	3
1282	2
1283	59
1284	2
1285	3
1286	3
1287	2
1288	1
1289	2
1290	2
1291	1
1292	1
1293	1
1294	15
1295	1
1296	1
1297	19
1298	47
1299	1
1300	1
1301	150
1302	1
1303	11
1304	1
1305	2
1306	1
1307	6
1308	1
1309	2
1310	1
1311	2
1312	1
1313	2
1314	1
1315	4
1316	1
1317	2
1318	1
1319	1
1320	1
1321	2
1322	2
1323	2
1324	1
1325	1
1326	1
1327	11
1328	8
1329	2
1330	1
1331	5
1332	5
1333	11
1334	2
1335	1
1336	1
1337	1
1338	1
1339	1
1340	1
1341	2
1342	2
1343	1
1344	1
1345	1
1346	1
1347	3
1348	3
1349	2
1350	1
1351	1
1352	2
1353	1
1354	2
1355	2
1356	3
1357	3
1358	1
1359	1
1360	1
1361	1
1362	53
1363	1
1364	6
1365	1
1366	1
1367	3
1368	3
1369	5
1370	168
1371	138
1372	4
1373	2
1374	2
1375	1
1376	2
1377	2
1378	1
1379	2
1380	2
1381	1
1382	2
1383	2
1384	1
1385	2
1386	2
1387	1
1388	2
1389	2
1390	1
1391	2
1392	2
1393	1
1394	1
1395	1
1396	9
1397	2
1398	2
1399	2
1400	2
1401	2
1402	1
1403	2
1404	2
1405	1
1406	2
1407	2
1408	23
1409	8
1410	26
1411	2
1412	15
1413	1
1414	1
1415	1
1416	1
1417	1
1418	7
1419	1
1420	1
1421	1
1422	11
1423	1
1424	1
1425	1
1426	1
1427	1
1428	8
1429	2
1430	1
1431	46
1432	1
1433	1
1434	131
1435	22
1436	12
1437	5
1438	1
1439	1
1440	6
1441	6
1442	4
1443	15
1444	4
1445	1
1446	1
1447	4
1448	7
1449	7
1450	1
1451	4
1452	4
1453	1
1454	1
1455	1
1456	2
1457	1
1458	1
1459	1
1460	1
1461	1
1462	1
1463	1
1464	1
1465	1
1466	2
1467	2
1468	1
1469	1
1470	1
1471	1
1472	2
1473	2
1474	1
1475	3
1476	3
1477	27
1478	1
1479	4
1480	4
1481	4
1482	1
1483	2
1484	1
1485	1
1486	1
1487	3
1488	2
1489	1
1490	1
1491	2
1492	1
1493	5
1494	5
1495	1
1496	2
1497	2
1498	2
1499	2
1500	2
1501	1
1502	1
1503	3
1504	3
1505	3
1506	3
1507	1
1508	1
1509	19
1510	1
1511	2
1512	1
1513	3
1514	1
1515	3
1516	1
1517	5
1518	1
1519	1
1520	28
1521	1
1522	1
1523	1
1524	12
1525	5
1526	2
1527	2
1528	5
1529	1
1530	2
1531	7
1532	2
1533	1
1534	2
1535	2
1536	1
1537	29
1538	1
1539	1
1540	5
1541	1
1542	1
1543	4
1544	1
1545	2
1546	1
1547	1
1548	1
1549	1
1550	1
1551	1
1552	1
1553	3
1554	2
1555	1
1556	1
1557	2
1558	2
1559	2
1560	1
1561	3
1562	3
1563	42
1564	1
1565	1
1566	20
1567	32
1568	1
1569	1
1570	2
1571	2
1572	1
1573	8
1574	8
1575	1
1576	1
1577	1
1578	100
1579	67
1580	1
1581	1
1582	1
1583	2
1584	3
1585	1
1586	1
1587	2
1588	2
1589	2
1590	2
1591	1
1592	1
1593	9
1594	1
1595	1
1596	2
1597	4
1598	18
1599	25
1600	1
1601	1
1602	14
1603	3
1604	1
1605	1
1606	8
1607	9
1608	1
1609	2
1610	2
1611	1
1612	1
1613	1
1614	1
1615	1
1616	1
1617	1
1618	5
1619	5
1620	1
1621	1
1622	1
1623	2
1624	3
1625	5
1626	1
1627	4
1628	1
1629	3
1630	1
1631	4
1632	1
1633	7
1634	3
1635	142
1636	4
1637	1
1638	8
1639	8
1640	1
1641	2
1642	2
1643	1
1644	1
1645	3
1646	1
1647	3
1648	9
1649	1
1650	1
1651	5
1652	1
1653	1
1654	4
1655	1
1656	1
1657	1
1658	2
1659	2
1660	1
1661	1
1662	1
1663	1
1664	1
1665	2
1666	1
1667	1
1668	1
1669	1
1670	1
1671	1
1672	1
1673	2
1674	11
1675	2
1676	1
1677	1
1678	1
1679	3
1680	1
1681	1
1682	16
1683	1
1684	1
1685	80
1686	1
1687	1
1688	21
1689	5
1690	12
1691	3
1692	1
1693	155
1694	316
1695	5
1696	115
1697	2
1698	2
1699	1
1700	1
1701	1
1702	1
1703	1
1704	1
1705	13
1706	2
1707	2
1708	1
1709	2
1710	2
1711	28
1712	2
1713	2
1714	1
1715	14
1716	1
1717	2
1718	4
1719	2
1720	2
1721	1
1722	2
1723	2
1724	1
1725	1
1726	1
1727	1
1728	1
1729	2
1730	1
1731	1
1732	1
1733	1
1734	3
1735	1
1736	3
1737	1
1738	4
1739	4
1740	22
