node	length	depth	copy_number
1	25	5.44	0.5942857143
2	1	8	0.6857142857
3	1	8	0.6857142857
4	3	0	0.45
5	3	8	0.6857142857
6	1	8	0.6857142857
7	2	0	0.45
8	2	9	0.7214285714
9	30	15	0.9357142857
10	1	0	0.45
11	2	15	0.9357142857
12	1	0	0.45
13	6	0	0.45
14	1	15	0.9357142857
15	5	16	0.9714285714
16	1	16	0.9714285714
17	6	0	0.45
18	6	16	0.9714285714
19	1	16	0.9714285714
20	1	0	0.45
21	1	16	0.9714285714
22	5	0	0.45
23	5	17	1.007142857
24	1	17	1.007142857
25	1	0	0.45
26	1	17	1.007142857
27	25	23	1.221428571
28	1	0	0.45
29	5	23	1.221428571
30	4	0	0.45
31	4	23	1.221428571
32	1	23	1.221428571
33	3	0	0.45
34	3	24	1.257142857
35	32	31	1.507142857
36	1	0	0.45
37	1	31	1.507142857
38	32	39	1.792857143
39	1	0	0.45
40	1	39	1.792857143
41	208	23.45432692	1.237654533
42	1	19	1.078571429
43	6	19	1.078571429
44	6	0	0.45
45	11	20	1.114285714
46	1	0	0.45
47	1	0	0.45
48	21	21	1.15
49	1	0	0.45
50	1	19	1.078571429
51	44	24.02272727	1.257954545
52	1	0	0.45
53	1	26	1.328571429
54	70	25.76428571	1.320153061
55	1	22	1.185714286
56	3	23	1.221428571
57	1	24	1.257142857
58	1	24	1.257142857
59	1	25	1.292857143
60	3	0	0.45
61	1	25	1.292857143
62	8	0	0.45
63	8	25	1.292857143
64	69	27.89855072	1.396376811
65	5	0	0.45
66	2	31	1.507142857
67	1	0	0.45
68	1	30	1.471428571
69	1	30	1.471428571
70	1	30	1.471428571
71	2	29	1.435714286
72	1	28	1.4
73	3	28	1.4
74	1	0	0.45
75	1	28	1.4
76	5	0	0.45
77	1	28	1.4
78	2	28	1.4
79	1	0	0.45
80	1	26	1.328571429
81	1	26	1.328571429
82	3	0	0.45
83	4	26	1.328571429
84	1	0	0.45
85	1	25	1.292857143
86	2	25	1.292857143
87	2	0	0.45
88	3	24	1.257142857
89	8	26	1.328571429
90	3	0	0.45
91	2	0	0.45
92	1	27	1.364285714
93	3	29	1.435714286
94	1	28	1.4
95	1	0	0.45
96	1	29	1.435714286
97	1	29	1.435714286
98	2	0	0.45
99	2	28.5	1.417857143
100	5	28	1.4
101	1	28	1.4
102	1	28	1.4
103	2	27	1.364285714
104	2	0	0.45
105	1	27	1.364285714
106	3	28	1.4
107	2	0	0.45
108	10	30	1.471428571
109	1	1	0.45
110	1	0	0.45
111	1	30	1.471428571
112	1	30	1.471428571
113	2	30	1.471428571
114	3	0	0.45
115	1	30	1.471428571
116	1	29	1.435714286
117	6	29	1.435714286
118	6	0	0.45
119	23	29.34782609	1.448136646
120	1	0	0.45
121	1	27	1.364285714
122	56	24.83035714	1.286798469
123	1	0	0.45
124	1	21	1.15
125	80	15.525	0.9544642857
126	1	0	0.45
127	1	14	0.9
128	99	16.61616162	0.9934343436
129	1	0	0.45
130	2	23	1.221428571
131	3	0	0.45
132	3	23	1.221428571
133	1	23	1.221428571
134	2	0	0.45
135	2	23	1.221428571
136	1	22	1.185714286
137	2	0	0.45
138	2	22	1.185714286
139	1	23	1.221428571
140	1	0	0.45
141	1	23	1.221428571
142	1	24	1.257142857
143	3	0	0.45
144	3	23	1.221428571
145	1	23	1.221428571
146	2	0	0.45
147	2	24	1.257142857
148	27	24.59259259	1.278306878
149	1	0	0.45
150	1	0	0.45
151	1	0	0.45
152	1	24	1.257142857
153	5	24	1.257142857
154	3	0	0.45
155	3	25	1.292857143
156	1	25	1.292857143
157	1	25	1.292857143
158	1	0	0.45
159	4	25	1.292857143
160	3	0	0.45
161	3	25	1.292857143
162	2	24	1.257142857
163	4	0	0.45
164	4	25	1.292857143
165	39	24.43589744	1.272710623
166	1	1	0.45
167	1	26	1.328571429
168	38	0	0.45
169	1	27	1.364285714
170	5	27	1.364285714
171	5	0	0.45
172	76	23.32894737	1.233176692
173	1	0	0.45
174	1	0	0.45
175	143	0	0.45
176	1	0	0.45
177	1	21	1.15
178	20	20.85	1.144642857
179	1	0	0.45
180	1	21	1.15
181	63	20.01587302	1.114852608
182	24	15.5	0.9535714286
183	1	15	0.9357142857
184	1	0	0.45
185	6	14.58333333	0.9208333332
186	1	18	1.042857143
187	16	14	0.9
188	1	17	1.007142857
189	1	0	0.45
190	1	17	1.007142857
191	6	13	0.8642857143
192	1	13	0.8642857143
193	1	0	0.45
194	1	13	0.8642857143
195	1	13	0.8642857143
196	1	13	0.8642857143
197	1	0	0.45
198	2	13	0.8642857143
199	2	0	0.45
200	5	12	0.8285714286
201	2	12	0.8285714286
202	2	0	0.45
203	2	12	0.8285714286
204	1	12	0.8285714286
205	1	13	0.8642857143
206	1	17	1.007142857
207	2	0	0.45
208	2	16	0.9714285714
209	1	12	0.8285714286
210	1	4	0.5428571429
211	1	4	0.5428571429
212	1	12	0.8285714286
213	1	11	0.7928571429
214	24	11	0.7928571429
215	1	15	0.9357142857
216	1	15	0.9357142857
217	1	15	0.9357142857
218	10	14.05	0.9017857143
219	1	0	0.45
220	1	14	0.9
221	1	0	0.45
222	3	15	0.9357142857
223	3	17	1.007142857
224	1	0	0.45
225	1	17	1.007142857
226	1	0	0.45
227	1	0	0.45
228	252	0	0.45
229	3	17	1.007142857
230	37	15.36486486	0.9487451736
231	4	15	0.9357142857
232	32	0	0.45
233	2	15	0.9357142857
234	3	0	0.45
235	1	15	0.9357142857
236	5	0	0.45
237	2	15	0.9357142857
238	5	0	0.45
239	3	14.33333333	0.9119047618
240	1	0	0.45
241	1	14	0.9
242	1	14	0.9
243	1	0	0.45
244	1	14	0.9
245	2	15	0.9357142857
246	1	15	0.9357142857
247	1	0	0.45
248	2	14	0.9
249	8	14.75	0.9267857143
250	1	0	0.45
251	1	16	0.9714285714
252	1	0	0.45
253	1	16	0.9714285714
254	17	16.35294118	0.9840336136
255	1	19	1.078571429
256	1	0	0.45
257	11	18.27272727	1.052597403
258	1	0	0.45
259	1	18	1.042857143
260	60	18.575	1.063392857
261	1	20	1.114285714
262	3	52	2.257142857
263	1	51	2.221428571
264	2	0	0.45
265	2	52	2.257142857
266	2	52	2.257142857
267	1	0	0.45
268	2	52	2.257142857
269	1	50	2.185714286
270	1	0	0.45
271	1	49	2.15
272	1	49	2.15
273	1	0	0.45
274	1	49	2.15
275	1	50	2.185714286
276	1	0	0.45
277	1	49	2.15
278	2	0	0.45
279	2	49	2.15
280	2	49	2.15
281	5	0	0.45
282	1	49	2.15
283	1	25	1.292857143
284	1	23	1.221428571
285	1	47	2.078571429
286	1	0	0.45
287	1	47	2.078571429
288	1	46	2.042857143
289	5	0	0.45
290	2	0	0.45
291	2	46	2.042857143
292	3	45	2.007142857
293	1	0	0.45
294	1	45	2.007142857
295	2	0	0.45
296	1	45	2.007142857
297	1	0	0.45
298	1	45	2.007142857
299	1	45	2.007142857
300	1	44	1.971428571
301	1	45	2.007142857
302	2	0	0.45
303	1	45	2.007142857
304	3	0	0.45
305	1	45	2.007142857
306	1	45	2.007142857
307	2	45	2.007142857
308	1	0	0.45
309	2	45	2.007142857
310	1	0	0.45
311	1	0	0.45
312	1	44	1.971428571
313	2	0	0.45
314	1	43	1.935714286
315	1	43	1.935714286
316	2	0	0.45
317	1	43	1.935714286
318	1	43	1.935714286
319	1	0	0.45
320	3	0	0.45
321	1	42	1.9
322	2	0	0.45
323	1	42	1.9
324	1	42	1.9
325	1	21	1.15
326	1	20	1.114285714
327	1	41	1.864285714
328	1	0	0.45
329	1	0	0.45
330	2	40	1.828571429
331	1	40	1.828571429
332	1	40	1.828571429
333	1	0	0.45
334	1	0	0.45
335	1	39	1.792857143
336	1	41	1.864285714
337	1	41	1.864285714
338	2	0	0.45
339	1	0	0.45
340	2	41.5	1.882142857
341	1	42	1.9
342	1	0	0.45
343	1	44	1.971428571
344	1	0	0.45
345	1	44	1.971428571
346	1	44	1.971428571
347	1	0	0.45
348	1	44	1.971428571
349	2	0	0.45
350	1	42	1.9
351	1	42	1.9
352	1	42	1.9
353	1	43	1.935714286
354	1	0	0.45
355	1	43	1.935714286
356	1	0	0.45
357	1	44	1.971428571
358	1	0	0.45
359	1	45	2.007142857
360	1	46	2.042857143
361	2	0	0.45
362	4	45	2.007142857
363	1	46	2.042857143
364	1	47	2.078571429
365	1	46	2.042857143
366	1	46	2.042857143
367	1	0	0.45
368	1	47	2.078571429
369	1	0	0.45
370	1	0	0.45
371	1	0	0.45
372	3	0	0.45
373	1	0	0.45
374	1	0	0.45
375	1	0	0.45
376	1	0	0.45
377	38	0	0.45
378	1	0	0.45
379	1	47	2.078571429
380	6	24.66666667	1.280952381
381	1	0	0.45
382	4	23.5	1.239285714
383	14	25.14285714	1.297959184
384	1	23	1.221428571
385	1	0	0.45
386	1	23	1.221428571
387	17	24.41176471	1.27184874
388	1	0	0.45
389	1	24	1.257142857
390	1	25	1.292857143
391	1	0	0.45
392	1	25	1.292857143
393	1	26	1.328571429
394	1	25	1.292857143
395	3	24.5	1.275
396	1	45	2.007142857
397	1	44	1.971428571
398	4	45.75	2.033928571
399	2	0	0.45
400	4	0	0.45
401	1	44	1.971428571
402	1	68	2.828571429
403	21	67.0952381	2.796258504
404	1	1	0.45
405	1	67	2.792857143
406	17	21.91176471	1.182563025
407	1	0	0.45
408	1	20	1.114285714
409	10	20.25	1.123214286
410	2	0	0.45
411	2	21	1.15
412	2	21	1.15
413	1	19	1.078571429
414	2	19	1.078571429
415	2	19	1.078571429
416	1	19	1.078571429
417	1	0	0.45
418	1	19	1.078571429
419	1	19	1.078571429
420	1	19	1.078571429
421	1	19	1.078571429
422	1	0	0.45
423	2	20	1.114285714
424	1	0	0.45
425	1	20	1.114285714
426	1	20	1.114285714
427	3	18	1.042857143
428	1	19	1.078571429
429	2	19	1.078571429
430	2	0	0.45
431	5	19	1.078571429
432	1	19	1.078571429
433	1	19	1.078571429
434	2	0	0.45
435	2	19	1.078571429
436	5	20.2	1.121428571
437	2	0	0.45
438	2	20	1.114285714
439	2	1	0.45
440	1	0	0.45
441	4	1	0.45
442	1	1	0.45
443	3	1	0.45
444	1	0	0.45
445	16	0	0.45
446	4	0	0.45
447	22	0	0.45
448	3	0	0.45
449	1	0	0.45
450	1	0	0.45
451	27	0	0.45
452	36	0.8055555556	0.45
453	3	21.66666667	1.173809524
454	1	23	1.221428571
455	3	23	1.221428571
456	5	24	1.257142857
457	2	0	0.45
458	4	25.125	1.297321429
459	1	26	1.328571429
