sample	role	fasta
seq_1065-0096-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1065-0096-#1#1.fa
seq_1074-0048-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1074-0048-#1#1.fa
seq_1076-0018-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1076-0018-#1#1.fa
seq_1061-0054-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1061-0054-#1#1.fa
seq_1078-0045-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1078-0045-#1#1.fa
seq_1085-0082-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1085-0082-#1#1.fa
seq_1079-0002-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1079-0002-#1#1.fa
seq_1089-0053-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1089-0053-#1#1.fa
seq_1068-0038-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1068-0038-#1#1.fa
seq_1086-0096-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1086-0096-#1#1.fa
seq_1052-0020-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1052-0020-#1#1.fa
seq_1081-0084-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1081-0084-#1#1.fa
seq_1080-0038-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1080-0038-#1#1.fa
seq_1095-0068-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1095-0068-#1#1.fa
seq_1093-0051-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1093-0051-#1#1.fa
seq_1083-0071-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1083-0071-#1#1.fa
seq_1084-0084-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1084-0084-#1#1.fa
seq_1077-0039-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1077-0039-#1#1.fa
seq_1092-0069-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1092-0069-#1#1.fa
seq_1087-0009-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1087-0009-#1#1.fa
seq_1067-0011-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1067-0011-#1#1.fa
seq_1072-0064-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1072-0064-#1#1.fa
seq_1097-0018-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1097-0018-#1#1.fa
seq_1091-0026-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1091-0026-#1#1.fa
seq_1063-0015-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1063-0015-#1#1.fa
seq_1088-0046-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1088-0046-#1#1.fa
seq_1070-0055-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1070-0055-#1#1.fa
seq_1055-0000-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1055-0000-#1#1.fa
seq_1069-0026-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1069-0026-#1#1.fa
seq_1090-0044-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1090-0044-#1#1.fa
seq_1082-0096-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1082-0096-#1#1.fa
seq_1066-0085-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1066-0085-#1#1.fa
seq_1098-0083-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1098-0083-#1#1.fa
seq_1053-0020-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1053-0020-#1#1.fa
seq_1073-0099-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1073-0099-#1#1.fa
seq_1094-0063-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1094-0063-#1#1.fa
seq_1054-0020-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1054-0020-#1#1.fa
seq_1057-0081-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1057-0081-#1#1.fa
seq_1059-0036-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1059-0036-#1#1.fa
seq_1056-0040-#1#1	train	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1056-0040-#1#1.fa
seq_1060-0037-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1060-0037-#1#1.fa
seq_1099-0027-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1099-0027-#1#1.fa
seq_1058-0005-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1058-0005-#1#1.fa
seq_1050-0068-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1050-0068-#1#1.fa
seq_1071-0008-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1071-0008-#1#1.fa
seq_1075-0098-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1075-0098-#1#1.fa
seq_1064-0038-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1064-0038-#1#1.fa
seq_1096-0055-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1096-0055-#1#1.fa
seq_1062-0020-#1#1	test	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1062-0020-#1#1.fa
