index	sample	fasta	length
0	seq_1000-0059-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1000-0059-#1#1.fa	9994
1	seq_1001-0002-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1001-0002-#1#1.fa	9997
2	seq_1002-0030-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1002-0030-#1#1.fa	9999
3	seq_1003-0041-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1003-0041-#1#1.fa	9989
4	seq_1004-0066-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1004-0066-#1#1.fa	9988
5	seq_1005-0087-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1005-0087-#1#1.fa	10064
6	seq_1006-0072-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1006-0072-#1#1.fa	10008
7	seq_1007-0099-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1007-0099-#1#1.fa	9961
8	seq_1008-0035-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1008-0035-#1#1.fa	9996
9	seq_1009-0089-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1009-0089-#1#1.fa	9991
10	seq_1010-0027-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1010-0027-#1#1.fa	10004
11	seq_1011-0030-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1011-0030-#1#1.fa	9999
12	seq_1012-0060-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1012-0060-#1#1.fa	10000
13	seq_1013-0046-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1013-0046-#1#1.fa	10003
14	seq_1014-0006-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1014-0006-#1#1.fa	10066
15	seq_1015-0054-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1015-0054-#1#1.fa	10021
