node	length	covered_bases	depth
1	25	136.00000000	5.44
2	1	8.00000000	8
3	1	8.00000000	8
4	3	0.00000000	0
5	3	24.00000000	8
6	1	8.00000000	8
7	2	0.00000000	0
8	2	18.00000000	9
9	30	450.00000000	15
10	1	0.00000000	0
11	2	30.00000000	15
12	1	0.00000000	0
13	6	0.00000000	0
14	1	15.00000000	15
15	5	80.00000000	16
16	1	16.00000000	16
17	6	0.00000000	0
18	6	96.00000000	16
19	1	16.00000000	16
20	1	0.00000000	0
21	1	16.00000000	16
22	5	0.00000000	0
23	5	85.00000000	17
24	1	17.00000000	17
25	1	0.00000000	0
26	1	17.00000000	17
27	25	575.00000000	23
28	1	0.00000000	0
29	5	115.00000000	23
30	4	0.00000000	0
31	4	92.00000000	23
32	1	23.00000000	23
33	3	0.00000000	0
34	3	72.00000000	24
35	32	992.00000000	31
36	1	0.00000000	0
37	1	31.00000000	31
38	32	1248.00000000	39
39	1	0.00000000	0
40	1	39.00000000	39
41	208	4878.50000000	23.45432692
42	1	19.00000000	19
43	6	114.00000000	19
44	6	0.00000000	0
45	11	220.00000000	20
46	1	0.00000000	0
47	1	0.00000000	0
48	21	441.00000000	21
49	1	0.00000000	0
50	1	19.00000000	19
51	44	1057.00000000	24.02272727
52	1	0.00000000	0
53	1	26.00000000	26
54	70	1803.50000000	25.76428571
55	1	22.00000000	22
56	3	69.00000000	23
57	1	24.00000000	24
58	1	24.00000000	24
59	1	25.00000000	25
60	3	0.00000000	0
61	1	25.00000000	25
62	8	0.00000000	0
63	8	200.00000000	25
64	69	1925.00000000	27.89855072
65	5	0.00000000	0
66	2	62.00000000	31
67	1	0.00000000	0
68	1	30.00000000	30
69	1	30.00000000	30
70	1	30.00000000	30
71	2	58.00000000	29
72	1	28.00000000	28
73	3	84.00000000	28
74	1	0.00000000	0
75	1	28.00000000	28
76	5	0.00000000	0
77	1	28.00000000	28
78	2	56.00000000	28
79	1	0.00000000	0
80	1	26.00000000	26
81	1	26.00000000	26
82	3	0.00000000	0
83	4	104.00000000	26
84	1	0.00000000	0
85	1	25.00000000	25
86	2	50.00000000	25
87	2	0.00000000	0
88	3	72.00000000	24
89	8	208.00000000	26
90	3	0.00000000	0
91	2	0.00000000	0
92	1	27.00000000	27
93	3	87.00000000	29
94	1	28.00000000	28
95	1	0.00000000	0
96	1	29.00000000	29
97	1	29.00000000	29
98	2	0.00000000	0
99	2	57.00000000	28.5
100	5	140.00000000	28
101	1	28.00000000	28
102	1	28.00000000	28
103	2	54.00000000	27
104	2	0.00000000	0
105	1	27.00000000	27
106	3	84.00000000	28
107	2	0.00000000	0
108	10	300.00000000	30
109	1	1.00000000	1
110	1	0.00000000	0
111	1	30.00000000	30
112	1	30.00000000	30
113	2	60.00000000	30
114	3	0.00000000	0
115	1	30.00000000	30
116	1	29.00000000	29
117	6	174.00000000	29
118	6	0.00000000	0
119	23	675.00000000	29.34782609
120	1	0.00000000	0
121	1	27.00000000	27
122	56	1390.50000000	24.83035714
123	1	0.00000000	0
124	1	21.00000000	21
125	80	1242.00000000	15.525
126	1	0.00000000	0
127	1	14.00000000	14
128	99	1645.00000000	16.61616162
129	1	0.00000000	0
130	2	46.00000000	23
131	3	0.00000000	0
132	3	69.00000000	23
133	1	23.00000000	23
134	2	0.00000000	0
135	2	46.00000000	23
136	1	22.00000000	22
137	2	0.00000000	0
138	2	44.00000000	22
139	1	23.00000000	23
140	1	0.00000000	0
141	1	23.00000000	23
142	1	24.00000000	24
143	3	0.00000000	0
144	3	69.00000000	23
145	1	23.00000000	23
146	2	0.00000000	0
147	2	48.00000000	24
148	27	664.00000000	24.59259259
149	1	0.00000000	0
150	1	0.00000000	0
151	1	0.00000000	0
152	1	24.00000000	24
153	5	120.00000000	24
154	3	0.00000000	0
155	3	75.00000000	25
156	1	25.00000000	25
157	1	25.00000000	25
158	1	0.00000000	0
159	4	100.00000000	25
160	3	0.00000000	0
161	3	75.00000000	25
162	2	48.00000000	24
163	4	0.00000000	0
164	4	100.00000000	25
165	39	953.00000000	24.43589744
166	1	1.00000000	1
167	1	26.00000000	26
168	38	0.00000000	0
169	1	27.00000000	27
170	5	135.00000000	27
171	5	0.00000000	0
172	76	1773.00000000	23.32894737
173	1	0.00000000	0
174	1	0.00000000	0
175	143	0.00000000	0
176	1	0.00000000	0
177	1	21.00000000	21
178	20	417.00000000	20.85
179	1	0.00000000	0
180	1	21.00000000	21
181	63	1261.00000000	20.01587302
182	24	372.00000000	15.5
183	1	15.00000000	15
184	1	0.00000000	0
185	6	87.50000000	14.58333333
186	1	18.00000000	18
187	16	224.00000000	14
188	1	17.00000000	17
189	1	0.00000000	0
190	1	17.00000000	17
191	6	78.00000000	13
192	1	13.00000000	13
193	1	0.00000000	0
194	1	13.00000000	13
195	1	13.00000000	13
196	1	13.00000000	13
197	1	0.00000000	0
198	2	26.00000000	13
199	2	0.00000000	0
200	5	60.00000000	12
201	2	24.00000000	12
202	2	0.00000000	0
203	2	24.00000000	12
204	1	12.00000000	12
205	1	13.00000000	13
206	1	17.00000000	17
207	2	0.00000000	0
208	2	32.00000000	16
209	1	12.00000000	12
210	1	4.00000000	4
211	1	4.00000000	4
212	1	12.00000000	12
213	1	11.00000000	11
214	24	264.00000000	11
215	1	15.00000000	15
216	1	15.00000000	15
217	1	15.00000000	15
218	10	140.50000000	14.05
219	1	0.00000000	0
220	1	14.00000000	14
221	1	0.00000000	0
222	3	45.00000000	15
223	3	51.00000000	17
224	1	0.00000000	0
225	1	17.00000000	17
226	1	0.00000000	0
227	1	0.00000000	0
228	252	0.00000000	0
229	3	51.00000000	17
230	37	568.50000000	15.36486486
231	4	60.00000000	15
232	32	0.00000000	0
233	2	30.00000000	15
234	3	0.00000000	0
235	1	15.00000000	15
236	5	0.00000000	0
237	2	30.00000000	15
238	5	0.00000000	0
239	3	43.00000000	14.33333333
240	1	0.00000000	0
241	1	14.00000000	14
242	1	14.00000000	14
243	1	0.00000000	0
244	1	14.00000000	14
245	2	30.00000000	15
246	1	15.00000000	15
247	1	0.00000000	0
248	2	28.00000000	14
249	8	118.00000000	14.75
250	1	0.00000000	0
251	1	16.00000000	16
252	1	0.00000000	0
253	1	16.00000000	16
254	17	278.00000000	16.35294118
255	1	19.00000000	19
256	1	0.00000000	0
257	11	201.00000000	18.27272727
258	1	0.00000000	0
259	1	18.00000000	18
260	60	1114.50000000	18.575
261	1	20.00000000	20
262	3	156.00000000	52
263	1	51.00000000	51
264	2	0.00000000	0
265	2	104.00000000	52
266	2	104.00000000	52
267	1	0.00000000	0
268	2	104.00000000	52
269	1	50.00000000	50
270	1	0.00000000	0
271	1	49.00000000	49
272	1	49.00000000	49
273	1	0.00000000	0
274	1	49.00000000	49
275	1	50.00000000	50
276	1	0.00000000	0
277	1	49.00000000	49
278	2	0.00000000	0
279	2	98.00000000	49
280	2	98.00000000	49
281	5	0.00000000	0
282	1	49.00000000	49
283	1	25.00000000	25
284	1	23.00000000	23
285	1	47.00000000	47
286	1	0.00000000	0
287	1	47.00000000	47
288	1	46.00000000	46
289	5	0.00000000	0
290	2	0.00000000	0
291	2	92.00000000	46
292	3	135.00000000	45
293	1	0.00000000	0
294	1	45.00000000	45
295	2	0.00000000	0
296	1	45.00000000	45
297	1	0.00000000	0
298	1	45.00000000	45
299	1	45.00000000	45
300	1	44.00000000	44
301	1	45.00000000	45
302	2	0.00000000	0
303	1	45.00000000	45
304	3	0.00000000	0
305	1	45.00000000	45
306	1	45.00000000	45
307	2	90.00000000	45
308	1	0.00000000	0
309	2	90.00000000	45
310	1	0.00000000	0
311	1	0.00000000	0
312	1	44.00000000	44
313	2	0.00000000	0
314	1	43.00000000	43
315	1	43.00000000	43
316	2	0.00000000	0
317	1	43.00000000	43
318	1	43.00000000	43
319	1	0.00000000	0
320	3	0.00000000	0
321	1	42.00000000	42
322	2	0.00000000	0
323	1	42.00000000	42
324	1	42.00000000	42
325	1	21.00000000	21
326	1	20.00000000	20
327	1	41.00000000	41
328	1	0.00000000	0
329	1	0.00000000	0
330	2	80.00000000	40
331	1	40.00000000	40
332	1	40.00000000	40
333	1	0.00000000	0
334	1	0.00000000	0
335	1	39.00000000	39
336	1	41.00000000	41
337	1	41.00000000	41
338	2	0.00000000	0
339	1	0.00000000	0
340	2	83.00000000	41.5
341	1	42.00000000	42
342	1	0.00000000	0
343	1	44.00000000	44
344	1	0.00000000	0
345	1	44.00000000	44
346	1	44.00000000	44
347	1	0.00000000	0
348	1	44.00000000	44
349	2	0.00000000	0
350	1	42.00000000	42
351	1	42.00000000	42
352	1	42.00000000	42
353	1	43.00000000	43
354	1	0.00000000	0
355	1	43.00000000	43
356	1	0.00000000	0
357	1	44.00000000	44
358	1	0.00000000	0
359	1	45.00000000	45
360	1	46.00000000	46
361	2	0.00000000	0
362	4	180.00000000	45
363	1	46.00000000	46
364	1	47.00000000	47
365	1	46.00000000	46
366	1	46.00000000	46
367	1	0.00000000	0
368	1	47.00000000	47
369	1	0.00000000	0
370	1	0.00000000	0
371	1	0.00000000	0
372	3	0.00000000	0
373	1	0.00000000	0
374	1	0.00000000	0
375	1	0.00000000	0
376	1	0.00000000	0
377	38	0.00000000	0
378	1	0.00000000	0
379	1	47.00000000	47
380	6	148.00000000	24.66666667
381	1	0.00000000	0
382	4	94.00000000	23.5
383	14	352.00000000	25.14285714
384	1	23.00000000	23
385	1	0.00000000	0
386	1	23.00000000	23
387	17	415.00000000	24.41176471
388	1	0.00000000	0
389	1	24.00000000	24
390	1	25.00000000	25
391	1	0.00000000	0
392	1	25.00000000	25
393	1	26.00000000	26
394	1	25.00000000	25
395	3	73.50000000	24.5
396	1	45.00000000	45
397	1	44.00000000	44
398	4	183.00000000	45.75
399	2	0.00000000	0
400	4	0.00000000	0
401	1	44.00000000	44
402	1	68.00000000	68
403	21	1409.00000000	67.0952381
404	1	1.00000000	1
405	1	67.00000000	67
406	17	372.50000000	21.91176471
407	1	0.00000000	0
408	1	20.00000000	20
409	10	202.50000000	20.25
410	2	0.00000000	0
411	2	42.00000000	21
412	2	42.00000000	21
413	1	19.00000000	19
414	2	38.00000000	19
415	2	38.00000000	19
416	1	19.00000000	19
417	1	0.00000000	0
418	1	19.00000000	19
419	1	19.00000000	19
420	1	19.00000000	19
421	1	19.00000000	19
422	1	0.00000000	0
423	2	40.00000000	20
424	1	0.00000000	0
425	1	20.00000000	20
426	1	20.00000000	20
427	3	54.00000000	18
428	1	19.00000000	19
429	2	38.00000000	19
430	2	0.00000000	0
431	5	95.00000000	19
432	1	19.00000000	19
433	1	19.00000000	19
434	2	0.00000000	0
435	2	38.00000000	19
436	5	101.00000000	20.2
437	2	0.00000000	0
438	2	40.00000000	20
439	2	2.00000000	1
440	1	0.00000000	0
441	4	4.00000000	1
442	1	1.00000000	1
443	3	3.00000000	1
444	1	0.00000000	0
445	16	0.00000000	0
446	4	0.00000000	0
447	22	0.00000000	0
448	3	0.00000000	0
449	1	0.00000000	0
450	1	0.00000000	0
451	27	0.00000000	0
452	36	29.00000000	0.8055555556
453	3	65.00000000	21.66666667
454	1	23.00000000	23
455	3	69.00000000	23
456	5	120.00000000	24
457	2	0.00000000	0
458	4	100.50000000	25.125
459	1	26.00000000	26
460	2	52.00000000	26
461	2	2.00000000	1
462	1	0.00000000	0
463	2	51.00000000	25.5
464	1	27.00000000	27
465	1	27.00000000	27
466	1	0.00000000	0
467	1	27.00000000	27
468	2	55.00000000	27.5
469	2	0.00000000	0
470	2	56.00000000	28
471	1	28.00000000	28
472	1	0.00000000	0
473	1	29.00000000	29
474	1	28.00000000	28
475	2	0.00000000	0
476	1	28.00000000	28
477	2	56.00000000	28
478	2	0.00000000	0
479	2	58.00000000	29
480	1	1.00000000	1
481	1	28.00000000	28
482	1	29.00000000	29
483	2	6.00000000	3
484	2	52.00000000	26
485	1	29.00000000	29
486	10	295.00000000	29.5
487	4	120.00000000	30
488	3	90.00000000	30
489	1	30.00000000	30
490	1	30.00000000	30
491	3	93.00000000	31
492	1	0.00000000	0
493	1	31.00000000	31
494	1	31.00000000	31
495	1	0.00000000	0
496	1	31.00000000	31
497	2	62.00000000	31
498	1	1.00000000	1
499	1	31.00000000	31
500	2	64.00000000	32
501	3	0.00000000	0
502	2	66.00000000	33
