read	contig	start	end	strand
read_00000000	seq_1060-0037-#1#1	8233	8433	-
read_00000001	seq_1060-0037-#1#1	8508	8708	+
read_00000002	seq_1060-0037-#1#1	2685	2885	+
read_00000003	seq_1060-0037-#1#1	5843	6043	+
read_00000004	seq_1060-0037-#1#1	1432	1632	+
read_00000005	seq_1060-0037-#1#1	8929	9129	-
read_00000006	seq_1060-0037-#1#1	5163	5363	+
read_00000007	seq_1060-0037-#1#1	1106	1306	-
read_00000008	seq_1060-0037-#1#1	2299	2499	-
read_00000009	seq_1060-0037-#1#1	3247	3447	-
read_00000010	seq_1060-0037-#1#1	3274	3474	+
read_00000011	seq_1060-0037-#1#1	9085	9285	+
read_00000012	seq_1060-0037-#1#1	8982	9182	+
read_00000013	seq_1060-0037-#1#1	4934	5134	+
read_00000014	seq_1060-0037-#1#1	3208	3408	-
read_00000015	seq_1060-0037-#1#1	7674	7874	+
read_00000016	seq_1060-0037-#1#1	8683	8883	+
read_00000017	seq_1060-0037-#1#1	2497	2697	-
read_00000018	seq_1060-0037-#1#1	3537	3737	+
read_00000019	seq_1060-0037-#1#1	6072	6272	+
read_00000020	seq_1060-0037-#1#1	8058	8258	+
read_00000021	seq_1060-0037-#1#1	4131	4331	-
read_00000022	seq_1060-0037-#1#1	5784	5984	-
read_00000023	seq_1060-0037-#1#1	2745	2945	-
read_00000024	seq_1060-0037-#1#1	8378	8578	-
read_00000025	seq_1060-0037-#1#1	318	518	+
read_00000026	seq_1060-0037-#1#1	206	406	-
read_00000027	seq_1060-0037-#1#1	6500	6700	-
read_00000028	seq_1060-0037-#1#1	2701	2901	-
read_00000029	seq_1060-0037-#1#1	8096	8296	-
read_00000030	seq_1060-0037-#1#1	1912	2112	-
read_00000031	seq_1060-0037-#1#1	2390	2590	+
read_00000032	seq_1060-0037-#1#1	555	755	+
read_00000033	seq_1060-0037-#1#1	4784	4984	+
read_00000034	seq_1060-0037-#1#1	3912	4112	-
read_00000035	seq_1060-0037-#1#1	3495	3695	-
read_00000036	seq_1060-0037-#1#1	8887	9087	-
read_00000037	seq_1060-0037-#1#1	1467	1667	-
read_00000038	seq_1060-0037-#1#1	8746	8946	-
read_00000039	seq_1060-0037-#1#1	595	795	+
read_00000040	seq_1060-0037-#1#1	3652	3852	+
read_00000041	seq_1060-0037-#1#1	8883	9083	-
read_00000042	seq_1060-0037-#1#1	4546	4746	+
read_00000043	seq_1060-0037-#1#1	8861	9061	+
read_00000044	seq_1060-0037-#1#1	7728	7928	+
read_00000045	seq_1060-0037-#1#1	2991	3191	-
read_00000046	seq_1060-0037-#1#1	7028	7228	-
read_00000047	seq_1060-0037-#1#1	5834	6034	+
read_00000048	seq_1060-0037-#1#1	8778	8978	+
read_00000049	seq_1060-0037-#1#1	4476	4676	+
read_00000050	seq_1060-0037-#1#1	256	456	-
read_00000051	seq_1060-0037-#1#1	746	946	+
read_00000052	seq_1060-0037-#1#1	7204	7404	+
read_00000053	seq_1060-0037-#1#1	1700	1900	+
read_00000054	seq_1060-0037-#1#1	3043	3243	-
read_00000055	seq_1060-0037-#1#1	9687	9887	-
read_00000056	seq_1060-0037-#1#1	2048	2248	+
read_00000057	seq_1060-0037-#1#1	8093	8293	+
read_00000058	seq_1060-0037-#1#1	7112	7312	+
read_00000059	seq_1060-0037-#1#1	4053	4253	+
read_00000060	seq_1060-0037-#1#1	6195	6395	+
read_00000061	seq_1060-0037-#1#1	3539	3739	-
read_00000062	seq_1060-0037-#1#1	1375	1575	-
read_00000063	seq_1060-0037-#1#1	7713	7913	+
read_00000064	seq_1060-0037-#1#1	8130	8330	+
read_00000065	seq_1060-0037-#1#1	6404	6604	+
read_00000066	seq_1060-0037-#1#1	1033	1233	-
read_00000067	seq_1060-0037-#1#1	6658	6858	-
read_00000068	seq_1060-0037-#1#1	3319	3519	+
read_00000069	seq_1060-0037-#1#1	9810	10010	+
read_00000070	seq_1060-0037-#1#1	7284	7484	+
read_00000071	seq_1060-0037-#1#1	8258	8458	+
read_00000072	seq_1060-0037-#1#1	1620	1820	-
read_00000073	seq_1060-0037-#1#1	7741	7941	-
read_00000074	seq_1060-0037-#1#1	9499	9699	+
read_00000075	seq_1060-0037-#1#1	6267	6467	+
read_00000076	seq_1060-0037-#1#1	3461	3661	+
read_00000077	seq_1060-0037-#1#1	9042	9242	+
read_00000078	seq_1060-0037-#1#1	1860	2060	+
read_00000079	seq_1060-0037-#1#1	2248	2448	-
read_00000080	seq_1060-0037-#1#1	7777	7977	+
read_00000081	seq_1060-0037-#1#1	825	1025	-
read_00000082	seq_1060-0037-#1#1	8535	8735	-
read_00000083	seq_1060-0037-#1#1	8377	8577	+
read_00000084	seq_1060-0037-#1#1	7123	7323	+
read_00000085	seq_1060-0037-#1#1	4235	4435	+
read_00000086	seq_1060-0037-#1#1	4746	4946	+
read_00000087	seq_1060-0037-#1#1	7641	7841	-
read_00000088	seq_1060-0037-#1#1	4264	4464	+
read_00000089	seq_1060-0037-#1#1	2129	2329	+
read_00000090	seq_1060-0037-#1#1	6539	6739	-
read_00000091	seq_1060-0037-#1#1	3738	3938	-
