node	length	depth	copy_number
1	25	5.44	0.944
2	1	8	1.2
3	1	0	0.45
4	1	8	1.2
5	3	8	1.2
6	3	0	0.45
7	1	8	1.2
8	2	9	1.3
9	1	0	0.45
10	32	15	1.9
11	1	0	0.45
12	1	15	1.9
13	13	16	2
14	1	16	2
15	1	0	0.45
16	37	23	2.7
17	4	23	2.7
18	5	0	0.45
19	1	23	2.7
20	3	24	2.8
21	3	0	0.45
22	32	31	3.5
23	1	31	3.5
24	1	0	0.45
25	32	39	4.3
26	1	39	4.3
27	1	0	0.45
28	248	24.13709677	2.813709677
29	1	19	2.3
30	1	0	0.45
31	196	22.25765306	2.625765306
32	3	31	3.5
33	1	30	3.4
34	2	30	3.4
35	2	0	0.45
36	2	29	3.3
37	2	0	0.45
38	3	28	3.2
39	1	0	0.45
40	1	28	3.2
41	5	0	0.45
42	2	0	0.45
43	1	28	3.2
44	1	28	3.2
45	1	0	0.45
46	1	28	3.2
47	1	26	3
48	1	0	0.45
49	1	26	3
50	1	25	2.9
51	1	25	2.9
52	1	0	0.45
53	2	26	3
54	1	25	2.9
55	1	0	0.45
56	2	25	2.9
57	5	24	2.8
58	5	0	0.45
59	1	25	2.9
60	5	26	3
61	1	26	3
62	2	0	0.45
63	6	0	0.45
64	3	26	3
65	1	25	2.9
66	1	25	2.9
67	1	0	0.45
68	1	25	2.9
69	2	25	2.9
70	2	0	0.45
71	57	29.28070175	3.328070175
72	1	27	3.1
73	1	0	0.45
74	137	17.54014599	2.154014599
75	1	14	1.8
76	1	0	0.45
77	99	18.16666667	2.216666667
78	1	0	0.45
79	2	23	2.7
80	3	23	2.7
81	3	0	0.45
82	1	23	2.7
83	2	23	2.7
84	2	0	0.45
85	1	22	2.6
86	2	22	2.6
87	2	0	0.45
88	1	23	2.7
89	1	23	2.7
90	1	0	0.45
91	1	24	2.8
92	3	23	2.7
93	3	0	0.45
94	1	23	2.7
95	2	24	2.8
96	2	0	0.45
97	27	24.59259259	2.859259259
98	1	24	2.8
99	1	0	0.45
100	1	0	0.45
101	1	0	0.45
102	82	27.00609756	3.100609756
103	20	0	0.45
104	1	0	0.45
105	1	0	0.45
106	77	2.883116883	0.6883116883
107	89	11	1.5
108	1	35	3.9
109	62	24.64516129	2.864516129
110	1	0	0.45
111	1	21	2.5
112	20	20.4	2.44
113	1	19	2.3
114	1	0	0.45
115	173	10.05780347	1.405780347
116	4	20.25	2.425
117	1	8	1.2
118	1	11	1.5
119	2	20	2.4
120	1	9	1.3
121	1	11	1.5
122	2	20	2.4
123	95	0	0.45
124	1	20	2.4
125	1	9	1.3
126	1	11	1.5
127	1	20	2.4
128	1	9	1.3
129	1	11	1.5
130	1	20	2.4
131	1	9	1.3
132	1	11	1.5
133	2	20	2.4
134	1	9	1.3
135	1	0	0.45
136	18	9.444444444	1.344444444
137	4	20	2.4
138	3	9	1.3
139	3	11	1.5
140	4	20	2.4
141	19	11	1.5
142	2	18	2.2
143	1	9	1.3
144	1	9	1.3
145	1	18	2.2
146	1	9	1.3
147	1	9	1.3
148	5	18	2.2
149	1	9	1.3
150	1	7	1.1
151	2	16	2
152	1	9	1.3
153	1	7	1.1
154	4	16	2
155	2	9	1.3
156	1	6	1
157	1	15	1.9
158	2	9	1.3
159	2	6	1
160	4	15	1.9
161	1	9	1.3
162	1	5	0.9
163	1	14	1.8
164	2	9	1.3
165	2	5	0.9
166	1	14	1.8
167	5	9	1.3
168	5	5	0.9
169	1	13	1.7
170	1	9	1.3
171	1	4	0.8
172	4	12	1.6
173	2	9	1.3
174	2	3	0.7
175	1	12	1.6
176	1	9	1.3
177	2	3	0.7
178	7	11	1.5
179	2	9	1.3
180	2	2	0.6
181	3	10	1.4
182	1	0	0.45
183	1	10	1.4
184	1	9	1.3
185	1	1	0.5
186	1	8	1.2
187	1	8	1.2
188	1	0	0.45
189	2	8	1.2
190	17	8	1.2
191	2	7	1.1
192	1	0	0.45
193	1	7	1.1
194	1	7	1.1
195	1	0	0.45
196	2	7	1.1
197	1	7	1.1
198	1	0	0.45
199	2	7	1.1
200	2	7	1.1
201	2	0	0.45
202	2	7	1.1
203	1	7	1.1
204	88	0	0.45
205	2	7	1.1
206	1	7	1.1
207	1	0	0.45
208	3	7	1.1
209	3	7	1.1
210	3	0	0.45
